onset	duration	trial_type	file_path	image_nr	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_image_nr	things_exemplar_nr	RT
3.0000	500	exp	images_meg/porthole/porthole_04s.jpg	14728	1228	4	n/a	1228.0000	17468.0000	4.0000	n/a
4.5000	500	exp	images_meg/piano/piano_04n.jpg	13984	1166	4	n/a	1166.0000	16589.0000	4.0000	n/a
5.9000	500	exp	images_meg/mouthpiece/mouthpiece_04s.jpg	12388	1033	4	n/a	1033.0000	14724.0000	4.0000	n/a
7.4000	500	exp	images_meg/toast/toast_04s.jpg	19984	1666	4	n/a	1666.0000	23516.0000	4.0000	n/a
8.8000	500	exp	images_meg/barrette/barrette_04s.jpg	928	78	4	n/a	78.0000	1158.0000	4.0000	n/a
10.2000	500	exp	images_meg/flour/flour_04s.jpg	7420	619	4	n/a	619.0000	8929.0000	4.0000	n/a
11.6500	500	exp	images_meg/shirt/shirt_04s.jpg	17068	1423	4	n/a	1423.0000	20183.0000	4.0000	n/a
13.1500	500	exp	images_meg/eagle/eagle_04s.jpg	6448	538	4	n/a	538.0000	7805.0000	4.0000	n/a
14.4500	500	exp	images_meg/sickle/sickle_04s.jpg	17296	1442	4	n/a	1442.0000	20447.0000	4.0000	n/a
15.8500	500	exp	images_meg/blowgun/blowgun_04s.jpg	1768	148	4	n/a	148.0000	2264.0000	4.0000	n/a
17.1500	500	exp	images_meg/turkey/turkey_04s.jpg	20800	1734	4	n/a	1734.0000	24436.0000	4.0000	n/a
18.7500	500	exp	images_meg/tackle/tackle_04s.jpg	19348	1613	4	n/a	1613.0000	22778.0000	4.0000	n/a
20.4000	500	test	images_test_meg/strainer_14s.jpg	22628	1567	13	180.0000	1567.0000	22134.0000	14.0000	n/a
21.9500	500	exp	images_meg/ratchet/ratchet_04s.jpg	15436	1287	4	n/a	1287.0000	18316.0000	4.0000	n/a
23.4500	500	exp	images_meg/flip_flop/flip_flop_04s.jpg	7372	615	4	n/a	615.0000	8880.0000	4.0000	n/a
25.1500	500	exp	images_meg/defibrillator/defibrillator_04s.jpg	5728	478	4	n/a	478.0000	6914.0000	4.0000	n/a
26.7000	500	catch	images_catch_meg/catch036.jpg	22284	1855	36	n/a	n/a	n/a	n/a	0.5938
28.1500	500	exp	images_meg/chalice/chalice_04s.jpg	3616	302	4	n/a	302.0000	4398.0000	4.0000	n/a
29.7500	500	exp	images_meg/mistletoe/mistletoe_04s.jpg	12088	1008	4	n/a	1008.0000	14364.0000	4.0000	n/a
31.1500	500	exp	images_meg/anteater/anteater_04s.jpg	304	26	4	n/a	26.0000	359.0000	4.0000	n/a
32.8000	500	exp	images_meg/mallet/mallet_04s.jpg	11548	963	4	n/a	963.0000	13725.0000	4.0000	n/a
34.3000	500	catch	images_catch_meg/catch057.jpg	22305	1855	57	n/a	n/a	n/a	n/a	0.5296
35.8000	500	exp	images_meg/record/record_04s.jpg	15544	1296	4	n/a	1296.0000	18434.0000	4.0000	n/a
37.3000	500	exp	images_meg/trough/trough_04s.jpg	20620	1719	4	n/a	1719.0000	24233.0000	4.0000	n/a
38.6000	500	catch	images_catch_meg/catch169.jpg	22417	1855	169	n/a	n/a	n/a	n/a	0.9716
40.1500	500	exp	images_meg/mulch/mulch_04s.jpg	12460	1039	4	n/a	1039.0000	14805.0000	4.0000	n/a
41.7500	500	exp	images_meg/mantle/mantle_04s.jpg	11632	970	4	n/a	970.0000	13828.0000	4.0000	n/a
43.2000	500	exp	images_meg/gong/gong_04s.jpg	8308	693	4	n/a	693.0000	9910.0000	4.0000	n/a
