onset	duration	trial_type	file_path	image_nr	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_image_nr	things_exemplar_nr	RT
3.0000	500	exp	images_meg/bikini/bikini_05s.jpg	1493	125	5	n/a	125.0000	1913.0000	5.0000	n/a
4.5500	500	exp	images_meg/corset/corset_05s.jpg	5021	419	5	n/a	419.0000	6019.0000	5.0000	n/a
6.1500	500	exp	images_meg/cigar/cigar_05n.jpg	4121	344	5	n/a	344.0000	4962.0000	5.0000	n/a
7.6000	500	test	images_test_meg/guardrail_16n.jpg	22591	721	13	143.0000	721.0000	10351.0000	16.0000	n/a
9.0000	500	exp	images_meg/swan/swan_05s.jpg	19097	1592	5	n/a	1592.0000	22489.0000	5.0000	n/a
10.6500	500	exp	images_meg/lobster/lobster_05s.jpg	11273	940	5	n/a	940.0000	13422.0000	5.0000	n/a
12.0000	500	catch	images_catch_meg/catch030.jpg	22278	1855	30	n/a	n/a	n/a	n/a	0.6312
13.4500	500	exp	images_meg/shoulder/shoulder_05s.jpg	17177	1432	5	n/a	1432.0000	20307.0000	5.0000	n/a
14.9500	500	exp	images_meg/lamppost/lamppost_05s.jpg	10709	893	5	n/a	893.0000	12786.0000	5.0000	n/a
16.3000	500	exp	images_meg/cocktail/cocktail_05s.jpg	4493	375	5	n/a	375.0000	5405.0000	5.0000	n/a
17.6500	500	catch	images_catch_meg/catch161.jpg	22409	1855	161	n/a	n/a	n/a	n/a	0.4708
19.2500	500	exp	images_meg/fence/fence_05s.jpg	6905	576	5	n/a	576.0000	8326.0000	5.0000	n/a
20.8000	500	exp	images_meg/juice/juice_05s.jpg	10253	855	5	n/a	855.0000	12232.0000	5.0000	n/a
22.2000	500	exp	images_meg/pudding/pudding_05s.jpg	14957	1247	5	n/a	1247.0000	17732.0000	5.0000	n/a
23.7500	500	exp	images_meg/hard_disk/hard_disk_05s.jpg	9029	753	5	n/a	753.0000	10776.0000	5.0000	n/a
25.0500	500	exp	images_meg/fork/fork_05s.jpg	7613	635	5	n/a	635.0000	9159.0000	5.0000	n/a
26.6000	500	exp	images_meg/cauliflower/cauliflower_05s.jpg	3461	289	5	n/a	289.0000	4223.0000	5.0000	n/a
28.0000	500	test	images_test_meg/bagel_17s.jpg	22554	56	13	106.0000	56.0000	828.0000	17.0000	n/a
29.3500	500	exp	images_meg/hourglass/hourglass_05s.jpg	9689	808	5	n/a	808.0000	11553.0000	5.0000	n/a
30.6500	500	exp	images_meg/pot/pot_05s.jpg	14765	1231	5	n/a	1231.0000	17506.0000	5.0000	n/a
32.2500	500	exp	images_meg/hookah/hookah_05s.jpg	9545	796	5	n/a	796.0000	11386.0000	5.0000	n/a
33.9500	500	exp	images_meg/tupperware/tupperware_05s.jpg	20753	1730	5	n/a	1730.0000	24383.0000	5.0000	n/a
35.5500	500	exp	images_meg/popsicle/popsicle_05s.jpg	14705	1226	5	n/a	1226.0000	17445.0000	5.0000	n/a
37.1000	500	exp	images_meg/knot/knot_05n.jpg	10601	884	5	n/a	884.0000	12658.0000	5.0000	n/a
38.5000	500	catch	images_catch_meg/catch169.jpg	22417	1855	169	n/a	n/a	n/a	n/a	0.5884
40.0500	500	exp	images_meg/diamond/diamond_05s.jpg	5813	485	5	n/a	485.0000	7015.0000	5.0000	n/a
41.5500	500	exp	images_meg/mulberry/mulberry_05s.jpg	12449	1038	5	n/a	1038.0000	14791.0000	5.0000	n/a
42.8500	500	exp	images_meg/pita/pita_05s.jpg	14273	1190	5	n/a	1190.0000	16921.0000	5.0000	n/a
44.5500	500	exp	images_meg/leaf/leaf_05s.jpg	10877	907	5	n/a	907.0000	12976.0000	5.0000	n/a
46.1500	500	exp	images_meg/toilet/toilet_05s.jpg	20045	1671	5	n/a	1671.0000	23584.0000	5.0000	n/a
47.8500	500	exp	images_meg/eyedropper/eyedropper_05s.jpg	6797	567	5	n/a	567.0000	8212.0000	5.0000	n/a
49.3000	500	catch	images_catch_meg/catch015.jpg	22263	1855	15	n/a	n/a	n/a	n/a	0.4489
50.9000	500	test	images_test_meg/ladder_15s.jpg	22598	887	13	150.0000	887.0000	12708.0000	15.0000	n/a
52.5000	500	exp	images_meg/coffee_filter/coffee_filter_05s.jpg	4553	380	5	n/a	380.0000	5476.0000	5.0000	n/a
54.0500	500	exp	images_meg/tomato/tomato_05s.jpg	20069	1673	5	n/a	1673.0000	23618.0000	5.0000	n/a
