onset	duration	trial_type	file_path	image_nr	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_image_nr	things_exemplar_nr	RT
3.0000	500	exp	images_meg/chin/chin_08s.jpg	3968	331	8	n/a	331.0000	4789.0000	8.0000	n/a
4.7000	500	test	images_test_meg/sim_card_13s.jpg	22530	1447	13	82.0000	1447.0000	20528.0000	13.0000	n/a
6.2000	500	catch	images_catch_meg/catch024.jpg	22272	1855	24	n/a	n/a	n/a	n/a	0.5073
7.9000	500	exp	images_meg/plant/plant_08s.jpg	14336	1195	8	n/a	1195.0000	16994.0000	8.0000	n/a
9.3000	500	exp	images_meg/flour/flour_08s.jpg	7424	619	8	n/a	619.0000	8933.0000	8.0000	n/a
10.7000	500	exp	images_meg/tupperware/tupperware_08s.jpg	20756	1730	8	n/a	1730.0000	24386.0000	8.0000	n/a
12.0000	500	exp	images_meg/crystal1/crystal1_08s.jpg	5456	455	8	n/a	455.0000	6576.0000	8.0000	n/a
13.6500	500	exp	images_meg/crane/crane_08s.jpg	5180	432	8	n/a	432.0000	6239.0000	8.0000	n/a
15.3000	500	exp	images_meg/popcorn/popcorn_08s.jpg	14684	1224	8	n/a	1224.0000	17418.0000	8.0000	n/a
16.8000	500	exp	images_meg/tumbleweed/tumbleweed_08n.jpg	20732	1728	8	n/a	1728.0000	24360.0000	8.0000	n/a
18.3000	500	exp	images_meg/cardigan/cardigan_08s.jpg	3284	274	8	n/a	274.0000	4025.0000	8.0000	n/a
20.0000	500	catch	images_catch_meg/catch126.jpg	22374	1855	126	n/a	n/a	n/a	n/a	0.4043
21.4000	500	exp	images_meg/alligator/alligator_08s.jpg	152	13	8	n/a	13.0000	185.0000	8.0000	n/a
22.7000	500	exp	images_meg/paperweight/paperweight_08s.jpg	13412	1118	8	n/a	1118.0000	15903.0000	8.0000	n/a
24.1500	500	test	images_test_meg/bamboo_13s.jpg	22453	63	13	5.0000	63.0000	944.0000	13.0000	n/a
25.8500	500	catch	images_catch_meg/catch120.jpg	22368	1855	120	n/a	n/a	n/a	n/a	0.4072
27.3500	500	exp	images_meg/grasshopper/grasshopper_08s.jpg	8480	707	8	n/a	707.0000	10141.0000	8.0000	n/a
28.7500	500	exp	images_meg/cloak/cloak_08s.jpg	4304	359	8	n/a	359.0000	5195.0000	8.0000	n/a
30.1500	500	exp	images_meg/lion/lion_08s.jpg	11204	934	8	n/a	934.0000	13339.0000	8.0000	n/a
31.8500	500	exp	images_meg/keyhole/keyhole_08s.jpg	10460	872	8	n/a	872.0000	12482.0000	8.0000	n/a
33.5000	500	catch	images_catch_meg/catch107.jpg	22355	1855	107	n/a	n/a	n/a	n/a	0.4409
35.0500	500	exp	images_meg/hail/hail_08s.jpg	8792	733	8	n/a	733.0000	10519.0000	8.0000	n/a
36.4500	500	test	images_test_meg/cardigan_13s.jpg	22568	274	13	120.0000	274.0000	4030.0000	13.0000	n/a
37.8000	500	exp	images_meg/duckling/duckling_08s.jpg	6320	527	8	n/a	527.0000	7647.0000	8.0000	n/a
39.3000	500	exp	images_meg/spacesuit/spacesuit_08s.jpg	18032	1503	8	n/a	1503.0000	21266.0000	8.0000	n/a
40.9000	500	exp	images_meg/water_cooler/water_cooler_08s.jpg	21464	1789	8	n/a	1789.0000	25217.0000	8.0000	n/a
42.3000	500	exp	images_meg/scarecrow/scarecrow_08s.jpg	16520	1377	8	n/a	1377.0000	19561.0000	8.0000	n/a
43.6000	500	exp	images_meg/coffee_table/coffee_table_08s.jpg	4580	382	8	n/a	382.0000	5505.0000	8.0000	n/a
45.1500	500	exp	images_meg/breadstick/breadstick_08s.jpg	2360	197	8	n/a	197.0000	2987.0000	8.0000	n/a
46.7000	500	exp	images_meg/bun/bun_08s.jpg	2648	221	8	n/a	221.0000	3312.0000	8.0000	n/a
48.1500	500	exp	images_meg/safety_pin/safety_pin_08s.jpg	16136	1345	8	n/a	1345.0000	19128.0000	8.0000	n/a
49.4500	500	exp	images_meg/face/face_08s.jpg	6836	570	8	n/a	570.0000	8251.0000	8.0000	n/a
51.1000	500	exp	images_meg/forklift/forklift_08n.jpg	7628	636	8	n/a	636.0000	9174.0000	8.0000	n/a
52.7000	500	exp	images_meg/diving_board/diving_board_08s.jpg	5936	495	8	n/a	495.0000	7158.0000	8.0000	n/a
54.4000	500	exp	images_meg/icemaker/icemaker_08s.jpg	9860	822	8	n/a	822.0000	11758.0000	8.0000	n/a
56.1000	500	exp	images_meg/wasp/wasp_08s.jpg	21428	1786	8	n/a	1786.0000	25175.0000	8.0000	n/a
57.6000	500	catch	images_catch_meg/catch011.jpg	22259	1855	11	n/a	n/a	n/a	n/a	0.4192
59.1000	500	exp	images_meg/powder/powder_08s.jpg	14840	1237	8	n/a	1237.0000	17597.0000	8.0000	n/a
60.6000	500	exp	images_meg/fence/fence_08s.jpg	6908	576	8	n/a	576.0000	8329.0000	8.0000	n/a
62.1000	500	exp	images_meg/lunchbox/lunchbox_08s.jpg	11408	951	8	n/a	951.0000	13567.0000	8.0000	n/a
63.7500	500	exp	images_meg/hydrant/hydrant_08s.jpg	9776	815	8	n/a	815.0000	11662.0000	8.0000	n/a
65.1500	500	exp	images_meg/rhubarb/rhubarb_08s.jpg	15692	1308	8	n/a	1308.0000	18625.0000	8.0000	n/a
66.4500	500	exp	images_meg/volleyball/volleyball_08s.jpg	21212	1768	8	n/a	1768.0000	24923.0000	8.0000	n/a
68.0000	500	test	images_test_meg/avocado_16s.jpg	22551	44	13	103.0000	44.0000	619.0000	16.0000	n/a
69.6500	500	exp	images_meg/sandal/sandal_08s.jpg	16232	1353	8	n/a	1353.0000	19249.0000	8.0000	n/a
71.0500	500	exp	images_meg/muff/muff_08s.jpg	12416	1035	8	n/a	1035.0000	14755.0000	8.0000	n/a
72.7000	500	exp	images_meg/altar/altar_08s.jpg	200	17	8	n/a	17.0000	239.0000	8.0000	n/a
74.2000	500	exp	images_meg/yolk/yolk_08s.jpg	22208	1851	8	n/a	1851.0000	26052.0000	8.0000	n/a
75.5000	500	exp	images_meg/cutting_board/cutting_board_08s.jpg	5612	468	8	n/a	468.0000	6786.0000	8.0000	n/a
76.9000	500	exp	images_meg/cookie_cutter/cookie_cutter_08s.jpg	4820	402	8	n/a	402.0000	5785.0000	8.0000	n/a
78.2500	500	test	images_test_meg/toothpick_15n.jpg	22641	1682	13	193.0000	1682.0000	23746.0000	15.0000	n/a
79.9500	500	catch	images_catch_meg/catch173.jpg	22421	1855	173	n/a	n/a	n/a	n/a	n/a
81.4500	500	exp	images_meg/pedal/pedal_08s.jpg	13640	1137	8	n/a	1137.0000	16186.0000	8.0000	n/a
82.8000	500	exp	images_meg/necklace/necklace_08s.jpg	12656	1055	8	n/a	1055.0000	15021.0000	8.0000	n/a
84.2500	500	exp	images_meg/rearview_mirror/rearview_mirror_08s.jpg	15524	1294	8	n/a	1294.0000	18414.0000	8.0000	n/a
85.6000	500	exp	images_meg/pacifier/pacifier_08s.jpg	13124	1094	8	n/a	1094.0000	15580.0000	8.0000	n/a
87.0000	500	test	images_test_meg/dough_19s.jpg	22482	514	13	34.0000	514.0000	7464.0000	19.0000	n/a
88.6500	500	exp	images_meg/birdcage/birdcage_08s.jpg	1568	131	8	n/a	131.0000	2016.0000	8.0000	n/a
90.1000	500	exp	images_meg/noodle/noodle_08s.jpg	12740	1062	8	n/a	1062.0000	15113.0000	8.0000	n/a
91.4000	500	exp	images_meg/poppy/poppy_08s.jpg	14696	1225	8	n/a	1225.0000	17433.0000	8.0000	n/a
92.7000	500	exp	images_meg/cigar/cigar_08s.jpg	4124	344	8	n/a	344.0000	4965.0000	8.0000	n/a
94.2000	500	exp	images_meg/cantaloupe/cantaloupe_08s.jpg	3164	264	8	n/a	264.0000	3889.0000	8.0000	n/a
95.7500	500	exp	images_meg/shoulder/shoulder_08s.jpg	17180	1432	8	n/a	1432.0000	20310.0000	8.0000	n/a
97.3500	500	exp	images_meg/string_cheese/string_cheese_08s.jpg	18884	1574	8	n/a	1574.0000	22232.0000	8.0000	n/a
98.7500	500	test	images_test_meg/cucumber_13s.jpg	22577	458	13	129.0000	458.0000	6634.0000	13.0000	n/a
100.3000	500	exp	images_meg/crow/crow_08s.jpg	5360	447	8	n/a	447.0000	6469.0000	8.0000	n/a
101.6500	500	exp	images_meg/lightning_bug/lightning_bug_08s.jpg	11156	930	8	n/a	930.0000	13286.0000	8.0000	n/a
103.3500	500	exp	images_meg/noose/noose_08s.jpg	12752	1063	8	n/a	1063.0000	15126.0000	8.0000	n/a
104.8500	500	exp	images_meg/dartboard/dartboard_08s.jpg	5696	475	8	n/a	475.0000	6879.0000	8.0000	n/a
106.3500	500	exp	images_meg/jumpsuit/jumpsuit_08s.jpg	10316	860	8	n/a	860.0000	12300.0000	8.0000	n/a
107.9500	500	test	images_test_meg/canoe_20s.jpg	22567	263	13	119.0000	263.0000	3880.0000	20.0000	n/a
109.6000	500	catch	images_catch_meg/catch187.jpg	22435	1855	187	n/a	n/a	n/a	n/a	0.5943
110.9000	500	exp	images_meg/tree/tree_08s.jpg	20504	1709	8	n/a	1709.0000	24109.0000	8.0000	n/a
112.5500	500	exp	images_meg/spout/spout_08s.jpg	18248	1521	8	n/a	1521.0000	21505.0000	8.0000	n/a
114.2500	500	exp	images_meg/banjo/banjo_08s.jpg	824	69	8	n/a	69.0000	1024.0000	8.0000	n/a
115.7500	500	exp	images_meg/pretzel/pretzel_08s.jpg	14876	1240	8	n/a	1240.0000	17643.0000	8.0000	n/a
117.4500	500	exp	images_meg/toaster/toaster_08s.jpg	20000	1667	8	n/a	1667.0000	23533.0000	8.0000	n/a
119.0000	500	exp	images_meg/kite/kite_08s.jpg	10496	875	8	n/a	875.0000	12531.0000	8.0000	n/a
120.5000	500	exp	images_meg/backscratcher/backscratcher_08s.jpg	608	51	8	n/a	51.0000	729.0000	8.0000	n/a
121.8500	500	exp	images_meg/charger/charger_08s.jpg	3704	309	8	n/a	309.0000	4504.0000	8.0000	n/a
123.2000	500	exp	images_meg/bean/bean_08s.jpg	1232	103	8	n/a	103.0000	1551.0000	8.0000	n/a
124.6500	500	exp	images_meg/ivy/ivy_08s.jpg	10016	835	8	n/a	835.0000	11943.0000	8.0000	n/a
126.2500	500	exp	images_meg/crouton/crouton_08n.jpg	5348	446	8	n/a	446.0000	6457.0000	8.0000	n/a
127.6000	500	catch	images_catch_meg/catch065.jpg	22313	1855	65	n/a	n/a	n/a	n/a	0.5139
129.1500	500	exp	images_meg/doily/doily_08s.jpg	5984	499	8	n/a	499.0000	7209.0000	8.0000	n/a
130.6000	500	exp	images_meg/dirt_bike/dirt_bike_08s.jpg	5864	489	8	n/a	489.0000	7075.0000	8.0000	n/a
132.2500	500	exp	images_meg/plaster_cast/plaster_cast_08s.jpg	14348	1196	8	n/a	1196.0000	17006.0000	8.0000	n/a
133.9500	500	exp	images_meg/tugboat/tugboat_08s.jpg	20708	1726	8	n/a	1726.0000	24332.0000	8.0000	n/a
135.4500	500	exp	images_meg/peanut/peanut_08s.jpg	13580	1132	8	n/a	1132.0000	16121.0000	8.0000	n/a
137.0500	500	exp	images_meg/headphones/headphones_08s.jpg	9200	767	8	n/a	767.0000	10988.0000	8.0000	n/a
138.6500	500	exp	images_meg/zebra/zebra_08s.jpg	22220	1852	8	n/a	1852.0000	26070.0000	8.0000	n/a
140.1500	500	exp	images_meg/octopus/octopus_08n.jpg	12848	1071	8	n/a	1071.0000	15231.0000	8.0000	n/a
141.4500	500	exp	images_meg/shield/shield_08n.jpg	17048	1421	8	n/a	1421.0000	20162.0000	8.0000	n/a
142.8500	500	exp	images_meg/nutcracker/nutcracker_08s.jpg	12812	1068	8	n/a	1068.0000	15190.0000	8.0000	n/a
144.4000	500	exp	images_meg/coverall/coverall_08s.jpg	5108	426	8	n/a	426.0000	6143.0000	8.0000	n/a
146.0500	500	catch	images_catch_meg/catch110.jpg	22358	1855	110	n/a	n/a	n/a	n/a	0.4431
147.4000	500	exp	images_meg/coop/coop_08s.jpg	4856	405	8	n/a	405.0000	5825.0000	8.0000	n/a
148.9500	500	exp	images_meg/armor/armor_08s.jpg	452	38	8	n/a	38.0000	531.0000	8.0000	n/a
