onset	duration	trial_type	file_path	image_nr	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_image_nr	things_exemplar_nr	RT
3.0000	500	exp	images_meg/appetizer/appetizer_08s.jpg	356	30	8	n/a	30.0000	412.0000	8.0000	n/a
4.3000	500	exp	images_meg/guinea_pig/guinea_pig_08s.jpg	8672	723	8	n/a	723.0000	10375.0000	8.0000	n/a
5.9500	500	exp	images_meg/windshield/windshield_08s.jpg	21848	1821	8	n/a	1821.0000	25640.0000	8.0000	n/a
7.2500	500	exp	images_meg/treasure/treasure_08s.jpg	20492	1708	8	n/a	1708.0000	24096.0000	8.0000	n/a
8.7000	500	exp	images_meg/slug/slug_08s.jpg	17672	1473	8	n/a	1473.0000	20870.0000	8.0000	n/a
10.1500	500	exp	images_meg/skull/skull_08s.jpg	17504	1459	8	n/a	1459.0000	20688.0000	8.0000	n/a
11.8000	500	exp	images_meg/cereal/cereal_08s.jpg	3572	298	8	n/a	298.0000	4346.0000	8.0000	n/a
13.2000	500	exp	images_meg/breakfast/breakfast_08s.jpg	2372	198	8	n/a	198.0000	3003.0000	8.0000	n/a
14.9000	500	exp	images_meg/iceskate/iceskate_08s.jpg	9884	824	8	n/a	824.0000	11783.0000	8.0000	n/a
16.4000	500	catch	images_catch_meg/catch049.jpg	22297	1855	49	n/a	n/a	n/a	n/a	1.0223
17.7500	500	exp	images_meg/makeup/makeup_08s.jpg	11540	962	8	n/a	962.0000	13713.0000	8.0000	n/a
19.2000	500	exp	images_meg/matchbox/matchbox_08s.jpg	11816	985	8	n/a	985.0000	14040.0000	8.0000	n/a
20.8500	500	exp	images_meg/sarcophagus/sarcophagus_08s.jpg	16304	1359	8	n/a	1359.0000	19331.0000	8.0000	n/a
22.5000	500	exp	images_meg/candy_bar/candy_bar_08s.jpg	3080	257	8	n/a	257.0000	3789.0000	8.0000	n/a
24.0000	500	exp	images_meg/shorts/shorts_08s.jpg	17168	1431	8	n/a	1431.0000	20296.0000	8.0000	n/a
25.6500	500	exp	images_meg/scrambled_egg/scrambled_egg_08s.jpg	16640	1387	8	n/a	1387.0000	19696.0000	8.0000	n/a
27.1500	500	exp	images_meg/chest2/chest2_08s.jpg	3848	321	8	n/a	321.0000	4662.0000	8.0000	n/a
