onset	duration	trial_type	file_path	image_nr	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_image_nr	things_exemplar_nr	RT
3.0000	500	test	images_test_meg/headlamp_14s.jpg	22496	765	13	48.0000	765.0000	10965.0000	14.0000	n/a
4.4000	500	exp	images_meg/tape_recorder/tape_recorder_09s.jpg	19497	1625	9	n/a	1625.0000	22949.0000	9.0000	n/a
5.7500	500	exp	images_meg/hook1/hook1_09s.jpg	9525	794	9	n/a	794.0000	11362.0000	9.0000	n/a
7.1000	500	exp	images_meg/palette/palette_09s.jpg	13209	1101	9	n/a	1101.0000	15674.0000	9.0000	n/a
8.5500	500	exp	images_meg/chalice/chalice_09s.jpg	3621	302	9	n/a	302.0000	4403.0000	9.0000	n/a
9.9500	500	exp	images_meg/bobsled/bobsled_09s.jpg	1869	156	9	n/a	156.0000	2388.0000	9.0000	n/a
11.3000	500	exp	images_meg/knot/knot_09s.jpg	10605	884	9	n/a	884.0000	12662.0000	9.0000	n/a
12.6500	500	exp	images_meg/match/match_09s.jpg	11805	984	9	n/a	984.0000	14028.0000	9.0000	n/a
14.1500	500	exp	images_meg/origami/origami_09s.jpg	13005	1084	9	n/a	1084.0000	15425.0000	9.0000	n/a
15.8500	500	catch	images_catch_meg/catch115.jpg	22363	1855	115	n/a	n/a	n/a	n/a	0.6272
17.2000	500	exp	images_meg/hairnet/hairnet_09s.jpg	8841	737	9	n/a	737.0000	10574.0000	9.0000	n/a
18.6000	500	exp	images_meg/bowtie/bowtie_09s.jpg	2169	181	9	n/a	181.0000	2753.0000	9.0000	n/a
20.1500	500	exp	images_meg/bamboo/bamboo_09s.jpg	753	63	9	n/a	63.0000	940.0000	9.0000	n/a
21.8500	500	exp	images_meg/tent/tent_09n.jpg	19725	1644	9	n/a	1644.0000	23215.0000	9.0000	n/a
23.3000	500	exp	images_meg/candy/candy_09s.jpg	3069	256	9	n/a	256.0000	3777.0000	9.0000	n/a
24.7500	500	exp	images_meg/nest/nest_09s.jpg	12681	1057	9	n/a	1057.0000	15049.0000	9.0000	n/a
26.3000	500	exp	images_meg/coffee/coffee_09s.jpg	4533	378	9	n/a	378.0000	5453.0000	9.0000	n/a
27.7000	500	exp	images_meg/ladybug/ladybug_09s.jpg	10665	889	9	n/a	889.0000	12730.0000	9.0000	n/a
