onset	duration	trial_type	file_path	image_nr	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_image_nr	things_exemplar_nr	RT
3.0000	500	exp	images_meg/ferry/ferry_09s.jpg	6969	581	9	n/a	581.0000	8415.0000	9.0000	n/a
4.3500	500	exp	images_meg/frog/frog_09s.jpg	7737	645	9	n/a	645.0000	9290.0000	9.0000	n/a
5.9500	500	exp	images_meg/cornucopia/cornucopia_09s.jpg	5001	417	9	n/a	417.0000	5995.0000	9.0000	n/a
7.5500	500	test	images_test_meg/tuxedo_16s.jpg	22645	1739	13	197.0000	1739.0000	24521.0000	16.0000	n/a
9.0000	500	catch	images_catch_meg/catch110.jpg	22358	1855	110	n/a	n/a	n/a	n/a	0.5162
10.7000	500	test	images_test_meg/cucumber_13s.jpg	22577	458	13	129.0000	458.0000	6634.0000	13.0000	n/a
12.2500	500	exp	images_meg/urn/urn_09s.jpg	20997	1750	9	n/a	1750.0000	24666.0000	9.0000	n/a
13.6000	500	test	images_test_meg/extinguisher_15s.jpg	22585	564	13	137.0000	564.0000	8173.0000	15.0000	n/a
15.2500	500	exp	images_meg/wig/wig_09s.jpg	21801	1817	9	n/a	1817.0000	25588.0000	9.0000	n/a
16.9000	500	test	images_test_meg/turtle_16n.jpg	22644	1737	13	196.0000	1737.0000	24489.0000	16.0000	n/a
18.3000	500	exp	images_meg/rhinoceros/rhinoceros_09s.jpg	15681	1307	9	n/a	1307.0000	18614.0000	9.0000	n/a
19.9000	500	exp	images_meg/dagger/dagger_09s.jpg	5637	470	9	n/a	470.0000	6815.0000	9.0000	n/a
21.6000	500	catch	images_catch_meg/catch095.jpg	22343	1855	95	n/a	n/a	n/a	n/a	0.4374
23.0000	500	exp	images_meg/wax/wax_09s.jpg	21549	1796	9	n/a	1796.0000	25308.0000	9.0000	n/a
24.6500	500	exp	images_meg/cash_register/cash_register_09s.jpg	3369	281	9	n/a	281.0000	4119.0000	9.0000	n/a
26.0500	500	exp	images_meg/garter/garter_09s.jpg	7917	660	9	n/a	660.0000	9483.0000	9.0000	n/a
27.6500	500	exp	images_meg/string_cheese/string_cheese_09s.jpg	18885	1574	9	n/a	1574.0000	22233.0000	9.0000	n/a
28.9500	500	exp	images_meg/fern/fern_09n.jpg	6933	578	9	n/a	578.0000	8368.0000	9.0000	n/a
30.3500	500	test	images_test_meg/stiletto_15s.jpg	22626	1555	13	178.0000	1555.0000	21974.0000	15.0000	n/a
32.0000	500	exp	images_meg/racket/racket_09s.jpg	15249	1271	9	n/a	1271.0000	18111.0000	9.0000	n/a
