onset	duration	trial_type	file_path	image_nr	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_image_nr	things_exemplar_nr	RT
3.0000	500	exp	images_meg/harp/harp_01b.jpg	9061	756	1	n/a	756.0000	10818.0000	1.0000	-2.1676
4.6000	500	exp	images_meg/ram/ram_01b.jpg	15385	1283	1	n/a	1283.0000	18263.0000	1.0000	n/a
6.2500	500	exp	images_meg/mousse/mousse_01b.jpg	12361	1031	1	n/a	1031.0000	14697.0000	1.0000	n/a
7.5500	500	exp	images_meg/waffle/waffle_01b.jpg	21241	1771	1	n/a	1771.0000	24961.0000	1.0000	n/a
9.1000	500	exp	images_meg/powder/powder_01b.jpg	14833	1237	1	n/a	1237.0000	17590.0000	1.0000	n/a
10.7000	500	catch	images_catch_meg/catch107.jpg	22355	1855	107	n/a	n/a	n/a	n/a	0.6223
12.1500	500	exp	images_meg/machete/machete_01b.jpg	11437	954	1	n/a	954.0000	13601.0000	1.0000	n/a
13.7500	500	exp	images_meg/mint/mint_01b.jpg	12049	1005	1	n/a	1005.0000	14319.0000	1.0000	n/a
15.4000	500	exp	images_meg/carrot/carrot_01b.jpg	3325	278	1	n/a	278.0000	4075.0000	1.0000	n/a
17.0500	500	exp	images_meg/sunroof/sunroof_01b.jpg	19033	1587	1	n/a	1587.0000	22408.0000	1.0000	n/a
18.6500	500	exp	images_meg/flour/flour_01b.jpg	7417	619	1	n/a	619.0000	8926.0000	1.0000	n/a
20.0500	500	exp	images_meg/fondue/fondue_01s.jpg	7513	627	1	n/a	627.0000	9045.0000	1.0000	n/a
21.5500	500	exp	images_meg/pepper2/pepper2_01b.jpg	13813	1152	1	n/a	1152.0000	16385.0000	1.0000	n/a
22.9000	500	exp	images_meg/jukebox/jukebox_01n.jpg	10285	858	1	n/a	858.0000	12266.0000	1.0000	n/a
24.2000	500	exp	images_meg/mail/mail_01b.jpg	11509	960	1	n/a	960.0000	13674.0000	1.0000	n/a
25.5000	500	exp	images_meg/pheasant/pheasant_01b.jpg	13921	1161	1	n/a	1161.0000	16511.0000	1.0000	n/a
27.1500	500	exp	images_meg/pomegranate/pomegranate_01b.jpg	14629	1220	1	n/a	1220.0000	17353.0000	1.0000	n/a
28.5500	500	exp	images_meg/laser_pointer/laser_pointer_01b.jpg	10789	900	1	n/a	900.0000	12880.0000	1.0000	n/a
29.9000	500	exp	images_meg/trophy/trophy_01b.jpg	20605	1718	1	n/a	1718.0000	24216.0000	1.0000	n/a
31.4000	500	exp	images_meg/soccer_ball/soccer_ball_01b.jpg	17857	1489	1	n/a	1489.0000	21075.0000	1.0000	n/a
32.9500	500	exp	images_meg/water_cooler/water_cooler_01b.jpg	21457	1789	1	n/a	1789.0000	25210.0000	1.0000	n/a
34.3500	500	exp	images_meg/chocolate/chocolate_01b.jpg	4057	339	1	n/a	339.0000	4892.0000	1.0000	n/a
35.8500	500	exp	images_meg/straightjacket/straightjacket_01b.jpg	18781	1566	1	n/a	1566.0000	22109.0000	1.0000	n/a
37.4500	500	catch	images_catch_meg/catch063.jpg	22311	1855	63	n/a	n/a	n/a	n/a	0.5345
38.7500	500	exp	images_meg/tape_measure/tape_measure_01b.jpg	19477	1624	1	n/a	1624.0000	22927.0000	1.0000	n/a
40.1000	500	exp	images_meg/baseball_bat/baseball_bat_01b.jpg	949	80	1	n/a	80.0000	1185.0000	1.0000	n/a
41.7000	500	exp	images_meg/ice_cream/ice_cream_01b.jpg	9805	818	1	n/a	818.0000	11698.0000	1.0000	n/a
43.0000	500	exp	images_meg/peanut_butter/peanut_butter_01s.jpg	13585	1133	1	n/a	1133.0000	16128.0000	1.0000	n/a
44.5000	500	exp	images_meg/bassinet/bassinet_01b.jpg	1021	86	1	n/a	86.0000	1267.0000	1.0000	n/a
45.9500	500	exp	images_meg/tweezers/tweezers_01b.jpg	20869	1740	1	n/a	1740.0000	24522.0000	1.0000	n/a
47.6500	500	exp	images_meg/waffle_iron/waffle_iron_01b.jpg	21253	1772	1	n/a	1772.0000	24979.0000	1.0000	n/a
49.2500	500	catch	images_catch_meg/catch043.jpg	22291	1855	43	n/a	n/a	n/a	n/a	0.6416
50.7500	500	exp	images_meg/whoopee_cushion/whoopee_cushion_01b.jpg	21769	1815	1	n/a	1815.0000	25555.0000	1.0000	n/a
52.1000	500	exp	images_meg/jet/jet_01b.jpg	10165	848	1	n/a	848.0000	12121.0000	1.0000	n/a
53.7000	500	test	images_test_meg/clipboard_14s.jpg	22474	356	13	26.0000	356.0000	5161.0000	14.0000	n/a
55.3500	500	exp	images_meg/toe/toe_01b.jpg	20017	1669	1	n/a	1669.0000	23554.0000	1.0000	n/a
56.9000	500	exp	images_meg/trap/trap_01b.jpg	20425	1703	1	n/a	1703.0000	24019.0000	1.0000	n/a
58.3500	500	exp	images_meg/jar/jar_01s.jpg	10081	841	1	n/a	841.0000	12020.0000	1.0000	n/a
59.9000	500	exp	images_meg/stretcher/stretcher_01s.jpg	18865	1573	1	n/a	1573.0000	22213.0000	1.0000	n/a
61.4500	500	exp	images_meg/couch/couch_01b.jpg	5065	423	1	n/a	423.0000	6077.0000	1.0000	n/a
63.1500	500	exp	images_meg/viewfinder/viewfinder_01s.jpg	21157	1764	1	n/a	1764.0000	24860.0000	1.0000	n/a
64.6500	500	exp	images_meg/copier/copier_01s.jpg	4861	406	1	n/a	406.0000	5831.0000	1.0000	n/a
66.2000	500	exp	images_meg/microscope/microscope_01b.jpg	11989	1000	1	n/a	1000.0000	14234.0000	1.0000	n/a
67.5000	500	exp	images_meg/chalkboard/chalkboard_01b.jpg	3637	304	1	n/a	304.0000	4424.0000	1.0000	n/a
