onset	duration	trial_type	things_category_nr	value	sample
2.888333333333333	0.5	exp	1095.0	15596.0	3466
4.439166666666667	0.5	exp	1021.0	14550.0	5327
5.889166666666667	0.5	exp	589.0	8515.0	7067
7.273333333333333	0.5	exp	77.0	1145.0	8728
8.790833333333333	0.5	exp	1234.0	17555.0	10549
10.291666666666666	0.5	exp	1843.0	25949.0	12350
11.575	0.5	catch	N/A	N/A	13890
12.975833333333334	0.5	exp	1607.0	22705.0	15571
14.526666666666667	0.5	exp	702.0	10060.0	17432
15.943333333333332	0.5	exp	140.0	2138.0	19132
17.5775	0.5	test	1787.0	25195.0	21093
19.12833333333333	0.5	exp	545.0	7918.0	22954
20.62833333333333	0.5	exp	1503.0	21268.0	24754
22.029166666666665	0.5	exp	434.0	6275.0	26435
23.53	0.5	exp	522.0	7582.0	28236
25.03	0.5	exp	1712.0	24147.0	30036
26.530833333333334	0.5	exp	1563.0	22079.0	31837
28.231666666666666	0.5	exp	97.0	1466.0	33878
29.799166666666668	0.5	exp	1844.0	25961.0	35759
31.299166666666668	0.5	test	63.0	944.0	37559
32.78333333333333	0.5	exp	930.0	13288.0	39340
34.384166666666665	0.5	exp	588.0	8500.0	41261
36.035	0.5	exp	419.0	6024.0	43242
37.585	0.5	exp	865.0	12370.0	45102
39.13583333333333	0.5	catch	N/A	N/A	46963
40.736666666666665	0.5	test	1000.0	14247.0	48884
42.2875	0.5	exp	1509.0	21346.0	50745
43.7875	0.5	exp	29.0	401.0	52545
45.48833333333334	0.5	exp	975.0	13904.0	54586
47.03916666666667	0.5	exp	1508.0	21331.0	56447
48.439166666666665	0.5	exp	706.0	10128.0	58127
50.07333333333333	0.5	exp	872.0	12484.0	60088
51.72416666666667	0.5	exp	204.0	3083.0	62069
53.29166666666666	0.5	test	1567.0	22134.0	63950
54.74166666666667	0.5	exp	438.0	6336.0	65690
56.02583333333333	0.5	catch	N/A	N/A	67231
57.47666666666667	0.5	exp	1823.0	25670.0	68972
59.04333333333334	0.5	exp	570.0	8253.0	70852
60.6275	0.5	exp	1554.0	21956.0	72753
62.195	0.5	exp	816.0	11677.0	74634
63.54583333333333	0.5	exp	781.0	11181.0	76255
65.02916666666667	0.5	exp	486.0	7036.0	78035
66.68	0.5	exp	1008.0	14370.0	80016
68.33083333333333	0.5	exp	993.0	14147.0	81997
69.89833333333333	0.5	exp	16.0	226.0	83878
71.19833333333334	0.5	exp	1589.0	22445.0	85438
72.54916666666666	0.5	exp	255.0	3764.0	87059
74.0	0.5	exp	833.0	11913.0	88800
75.5	0.5	exp	1605.0	22679.0	90600
76.93416666666667	0.5	exp	2.0	24.0	92321
78.485	0.5	exp	1287.0	18322.0	94182
80.185	0.5	exp	809.0	11572.0	96222
81.7525	0.5	catch	N/A	N/A	98103
83.28666666666666	0.5	exp	1419.0	20136.0	99944
84.7375	0.5	exp	1084.0	15426.0	101685
86.2875	0.5	exp	1730.0	24388.0	103545
87.68833333333333	0.5	catch	N/A	N/A	105226
89.13916666666667	0.5	exp	324.0	4702.0	106967
90.68916666666668	0.5	exp	1153.0	16416.0	108827
92.22333333333331	0.5	exp	705.0	10115.0	110668
93.79083333333334	0.5	exp	883.0	12645.0	112549
95.14166666666668	0.5	exp	1441.0	20438.0	114170
96.44166666666666	0.5	exp	1410.0	20016.0	115730
97.7925	0.5	exp	1702.0	24014.0	117351
99.22583333333333	0.5	exp	1357.0	19306.0	119071
100.79333333333334	0.5	test	459.0	6653.0	120952
102.14416666666666	0.5	exp	184.0	2793.0	122573
103.44416666666666	0.5	exp	1447.0	20525.0	124133
104.995	0.5	exp	920.0	13155.0	125994
106.54583333333332	0.5	exp	477.0	6906.0	127855
107.84666666666666	0.5	exp	1536.0	21714.0	129416
109.33	0.5	catch	N/A	N/A	131196
110.98083333333334	0.5	exp	1212.0	17226.0	133177
112.63166666666666	0.5	exp	1713.0	24161.0	135158
114.18166666666669	0.5	exp	861.0	12315.0	137018
115.7325	0.5	exp	1801.0	25381.0	138879
117.08333333333331	0.5	test	156.0	2393.0	140500
118.50083333333332	0.5	exp	8.0	107.0	142201
119.98416666666668	0.5	exp	402.0	5787.0	143981
121.535	0.5	exp	1179.0	16780.0	145842
122.93583333333332	0.5	exp	762.0	10918.0	147523
124.48583333333332	0.5	catch	N/A	N/A	149383
125.88666666666668	0.5	exp	713.0	10235.0	151064
127.3875	0.5	exp	592.0	8552.0	152865
128.95416666666668	0.5	exp	63.0	941.0	154745
130.53833333333333	0.5	exp	837.0	11970.0	156646
132.10583333333332	0.5	test	1618.0	22851.0	158527
133.54	0.5	exp	1641.0	23172.0	160248
135.22333333333333	0.5	exp	743.0	10652.0	162268
136.8075	0.5	exp	520.0	7549.0	164169
138.24166666666667	0.5	exp	1424.0	20201.0	165890
139.54166666666666	0.5	catch	N/A	N/A	167450
141.12583333333333	0.5	exp	871.0	12469.0	169351
142.69333333333333	0.5	exp	857.0	12262.0	171232
144.04416666666663	0.5	exp	870.0	12450.0	172853
145.54416666666663	0.5	exp	569.0	8241.0	174653
147.02833333333334	0.5	exp	611.0	8836.0	176434
148.62916666666666	0.5	exp	1623.0	22923.0	178355
150.28	0.5	catch	N/A	N/A	180336
151.83	0.5	exp	1408.0	19992.0	182196
153.3975	0.5	exp	985.0	14042.0	184077
154.73166666666663	0.5	exp	92.0	1378.0	185678
156.43166666666667	0.5	catch	N/A	N/A	187718
157.9825	0.5	exp	1673.0	23623.0	189579
159.45	0.5	exp	1520.0	21494.0	191340
160.98416666666665	0.5	test	1231.0	17517.0	193181
162.53416666666666	0.5	exp	21.0	299.0	195041
164.10166666666666	0.5	exp	1232.0	17527.0	196922
165.53583333333333	0.5	test	564.0	8173.0	198643
167.0025	0.5	test	61.0	914.0	200403
168.28666666666666	0.5	test	765.0	10965.0	201944
169.7875	0.5	exp	1244.0	17698.0	203745
171.35416666666666	0.5	exp	323.0	4688.0	205625
172.88833333333332	0.5	exp	1596.0	22554.0	207466
174.45583333333337	0.5	exp	87.0	1292.0	209347
175.90666666666667	0.5	test	811.0	11609.0	211088
177.40666666666667	0.5	catch	N/A	N/A	212888
178.8575	0.5	exp	529.0	7687.0	214629
180.325	0.5	exp	1415.0	20085.0	216390
182.025	0.5	exp	968.0	13802.0	218430
183.60916666666665	0.5	exp	1654.0	23360.0	220331
184.89333333333332	0.5	exp	906.0	12965.0	221872
186.19333333333333	0.5	exp	94.0	1418.0	223432
187.59416666666667	0.5	exp	96.0	1448.0	225113
188.945	0.5	exp	1462.0	20729.0	226734
190.37833333333333	0.5	test	100.0	1510.0	228454
191.94583333333333	0.5	exp	1451.0	20580.0	230335
193.44666666666663	0.5	exp	338.0	4889.0	232136
195.03083333333333	0.5	exp	734.0	10533.0	234037
196.5975	0.5	exp	1838.0	25880.0	235917
198.09833333333333	0.5	catch	N/A	N/A	237718
199.44916666666663	0.5	test	1130.0	16101.0	239339
200.99916666666667	0.5	exp	1079.0	15350.0	241199
202.5	0.5	exp	1628.0	22993.0	243000
204.00083333333333	0.5	exp	1651.0	23319.0	244801
205.585	0.5	exp	905.0	12953.0	246702
207.15166666666667	0.5	exp	672.0	9632.0	248582
208.7025	0.5	exp	810.0	11585.0	250443
210.20333333333332	0.5	exp	1722.0	24281.0	252244
211.60333333333327	0.5	exp	1522.0	21521.0	253924
213.2875	0.5	exp	650.0	9356.0	255945
214.98833333333332	0.5	exp	1535.0	21699.0	257986
216.53916666666663	0.5	exp	1243.0	17683.0	259847
217.90583333333333	0.5	exp	854.0	12224.0	261487
219.34	0.5	exp	654.0	9404.0	263208
220.9075	0.5	exp	1542.0	21788.0	265089
222.575	0.5	exp	1379.0	19591.0	267090
224.175	0.5	exp	191.0	2901.0	269010
225.7425	0.5	catch	N/A	N/A	270891
227.0433333333333	0.5	exp	1477.0	20926.0	272452
228.4933333333333	0.5	exp	990.0	14105.0	274192
230.0608333333333	0.5	exp	1109.0	15787.0	276073
231.46166666666667	0.5	exp	766.0	10977.0	277754
232.81166666666667	0.5	exp	228.0	3401.0	279374
