onset	duration	trial_type	file_path	image_nr	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_image_nr	things_exemplar_nr	RT
3.0000	500	exp	images_meg/rooster/rooster_09s.jpg	15969	1331	9	n/a	1331.0000	18934.0000	9.0000	n/a
4.6500	500	exp	images_meg/pocket_watch/pocket_watch_09s.jpg	14481	1207	9	n/a	1207.0000	17155.0000	9.0000	n/a
6.2500	500	exp	images_meg/poodle/poodle_09s.jpg	14661	1222	9	n/a	1222.0000	17386.0000	9.0000	n/a
7.7000	500	exp	images_meg/siren/siren_09s.jpg	17385	1449	9	n/a	1449.0000	20552.0000	9.0000	n/a
9.0500	500	exp	images_meg/banana_split/banana_split_09s.jpg	789	66	9	n/a	66.0000	986.0000	9.0000	n/a
10.5000	500	exp	images_meg/bow3/bow3_09s.jpg	2121	177	9	n/a	177.0000	2698.0000	9.0000	n/a
12.1000	500	exp	images_meg/tattoo/tattoo_09s.jpg	19557	1630	9	n/a	1630.0000	23019.0000	9.0000	n/a
13.5500	500	exp	images_meg/magnifier/magnifier_09s.jpg	11493	958	9	n/a	958.0000	13658.0000	9.0000	n/a
15.2000	500	test	images_test_meg/trowel_17s.jpg	22643	1720	13	195.0000	1720.0000	24259.0000	17.0000	n/a
16.5500	500	exp	images_meg/chihuahua/chihuahua_09s.jpg	3921	327	9	n/a	327.0000	4740.0000	9.0000	n/a
17.9500	500	exp	images_meg/calf2/calf2_09s.jpg	2913	243	9	n/a	243.0000	3609.0000	9.0000	n/a
19.6500	500	exp	images_meg/shower_curtain/shower_curtain_09s.jpg	17229	1436	9	n/a	1436.0000	20360.0000	9.0000	n/a
21.1500	500	exp	images_meg/statue/statue_09s.jpg	18525	1544	9	n/a	1544.0000	21815.0000	9.0000	n/a
22.8500	500	exp	images_meg/pliers/pliers_09s.jpg	14421	1202	9	n/a	1202.0000	17085.0000	9.0000	n/a
24.4000	500	catch	images_catch_meg/catch079.jpg	22327	1855	79	n/a	n/a	n/a	n/a	0.5455
25.9500	500	test	images_test_meg/polaroid_13s.jpg	22617	1213	13	169.0000	1213.0000	17253.0000	13.0000	n/a
27.6500	500	exp	images_meg/scallop/scallop_09s.jpg	16485	1374	9	n/a	1374.0000	19522.0000	9.0000	n/a
29.1500	500	catch	images_catch_meg/catch120.jpg	22368	1855	120	n/a	n/a	n/a	n/a	0.4693
30.8000	500	exp	images_meg/pan/pan_09s.jpg	13245	1104	9	n/a	1104.0000	15713.0000	9.0000	n/a
32.3500	500	exp	images_meg/olive/olive_09s.jpg	12909	1076	9	n/a	1076.0000	15304.0000	9.0000	n/a
33.9000	500	exp	images_meg/meat_grinder/meat_grinder_09s.jpg	11865	989	9	n/a	989.0000	14092.0000	9.0000	n/a
35.6000	500	test	images_test_meg/sim_card_13s.jpg	22530	1447	13	82.0000	1447.0000	20528.0000	13.0000	n/a
36.9000	500	exp	images_meg/drill/drill_09s.jpg	6249	521	9	n/a	521.0000	7567.0000	9.0000	n/a
38.6000	500	exp	images_meg/flashbulb/flashbulb_09s.jpg	7329	611	9	n/a	611.0000	8835.0000	9.0000	n/a
40.3000	500	exp	images_meg/pedometer/pedometer_09s.jpg	13653	1138	9	n/a	1138.0000	16201.0000	9.0000	n/a
42.0000	500	exp	images_meg/file1/file1_09s.jpg	7005	584	9	n/a	584.0000	8451.0000	9.0000	n/a
43.6000	500	exp	images_meg/net/net_09s.jpg	12693	1058	9	n/a	1058.0000	15062.0000	9.0000	n/a
44.9500	500	exp	images_meg/worm/worm_09n.jpg	22041	1837	9	n/a	1837.0000	25867.0000	9.0000	n/a
46.2500	500	exp	images_meg/baton1/baton1_09s.jpg	1113	93	9	n/a	93.0000	1401.0000	9.0000	n/a
47.6000	500	catch	images_catch_meg/catch135.jpg	22383	1855	135	n/a	n/a	n/a	n/a	0.4258
48.9000	500	exp	images_meg/caterpillar/caterpillar_09s.jpg	3441	287	9	n/a	287.0000	4194.0000	9.0000	n/a
50.3500	500	exp	images_meg/plaster_cast/plaster_cast_09s.jpg	14349	1196	9	n/a	1196.0000	17007.0000	9.0000	n/a
51.7000	500	test	images_test_meg/sword_13s.jpg	22632	1603	13	184.0000	1603.0000	22656.0000	13.0000	n/a
53.1500	500	exp	images_meg/jewelry/jewelry_09s.jpg	10209	851	9	n/a	851.0000	12179.0000	9.0000	n/a
54.5500	500	exp	images_meg/sardine/sardine_09s.jpg	16317	1360	9	n/a	1360.0000	19344.0000	9.0000	n/a
56.1000	500	exp	images_meg/ball/ball_09s.jpg	717	60	9	n/a	60.0000	888.0000	9.0000	n/a
57.6000	500	exp	images_meg/burrito/burrito_09n.jpg	2709	226	9	n/a	226.0000	3376.0000	9.0000	n/a
59.0500	500	exp	images_meg/jeans/jeans_09s.jpg	10113	843	9	n/a	843.0000	12054.0000	9.0000	n/a
60.3500	500	exp	images_meg/cotton_candy/cotton_candy_09s.jpg	5061	422	9	n/a	422.0000	6072.0000	9.0000	n/a
61.8000	500	exp	images_meg/leggings/leggings_09s.jpg	10953	913	9	n/a	913.0000	13063.0000	9.0000	n/a
63.3000	500	exp	images_meg/oilcan/oilcan_09s.jpg	12885	1074	9	n/a	1074.0000	15277.0000	9.0000	n/a
64.8000	500	exp	images_meg/stingray/stingray_09s.jpg	18681	1557	9	n/a	1557.0000	21997.0000	9.0000	n/a
66.4000	500	exp	images_meg/crumb/crumb_09s.jpg	5421	452	9	n/a	452.0000	6539.0000	9.0000	n/a
67.8000	500	catch	images_catch_meg/catch004.jpg	22252	1855	4	n/a	n/a	n/a	n/a	0.4098
69.3000	500	exp	images_meg/jalapeno/jalapeno_09s.jpg	10065	839	9	n/a	839.0000	11998.0000	9.0000	n/a
70.7000	500	exp	images_meg/pencil_sharpener/pencil_sharpener_09n.jpg	13725	1144	9	n/a	1144.0000	16277.0000	9.0000	n/a
72.4000	500	exp	images_meg/chess_piece/chess_piece_09s.jpg	3813	318	9	n/a	318.0000	4624.0000	9.0000	n/a
73.8500	500	exp	images_meg/syringe/syringe_09s.jpg	19257	1605	9	n/a	1605.0000	22678.0000	9.0000	n/a
75.2000	500	catch	images_catch_meg/catch007.jpg	22255	1855	7	n/a	n/a	n/a	n/a	0.5630
76.7000	500	exp	images_meg/comic_book/comic_book_09s.jpg	4701	392	9	n/a	392.0000	5643.0000	9.0000	n/a
78.2500	500	exp	images_meg/helicopter/helicopter_09s.jpg	9309	776	9	n/a	776.0000	11107.0000	9.0000	n/a
79.6500	500	test	images_test_meg/cashew_15n.jpg	22569	282	13	121.0000	282.0000	4137.0000	15.0000	n/a
81.0500	500	exp	images_meg/meat/meat_09s.jpg	11853	988	9	n/a	988.0000	14079.0000	9.0000	n/a
82.5000	500	test	images_test_meg/dress_13s.jpg	22486	519	13	38.0000	519.0000	7539.0000	13.0000	n/a
84.0500	500	exp	images_meg/cilantro/cilantro_09s.jpg	4173	348	9	n/a	348.0000	5042.0000	9.0000	n/a
85.4500	500	catch	images_catch_meg/catch095.jpg	22343	1855	95	n/a	n/a	n/a	n/a	0.4966
87.1000	500	exp	images_meg/icemaker/icemaker_09s.jpg	9861	822	9	n/a	822.0000	11759.0000	9.0000	n/a
88.7500	500	exp	images_meg/pennant/pennant_09s.jpg	13785	1149	9	n/a	1149.0000	16352.0000	9.0000	n/a
90.0500	500	exp	images_meg/lantern/lantern_09s.jpg	10749	896	9	n/a	896.0000	12831.0000	9.0000	n/a
91.7500	500	exp	images_meg/beetle/beetle_09s.jpg	1389	116	9	n/a	116.0000	1774.0000	9.0000	n/a
93.4000	500	exp	images_meg/corkboard/corkboard_09s.jpg	4929	411	9	n/a	411.0000	5908.0000	9.0000	n/a
95.1000	500	test	images_test_meg/aluminum_foil_15s.jpg	22550	18	13	102.0000	18.0000	264.0000	15.0000	n/a
96.5500	500	exp	images_meg/popcorn/popcorn_09s.jpg	14685	1224	9	n/a	1224.0000	17419.0000	9.0000	n/a
97.8500	500	exp	images_meg/gopher/gopher_09s.jpg	8337	695	9	n/a	695.0000	9943.0000	9.0000	n/a
99.5000	500	exp	images_meg/kaleidoscope/kaleidoscope_09s.jpg	10341	862	9	n/a	862.0000	12329.0000	9.0000	n/a
100.9500	500	exp	images_meg/typewriter/typewriter_09s.jpg	20901	1742	9	n/a	1742.0000	24555.0000	9.0000	n/a
102.3500	500	exp	images_meg/cigarette_holder/cigarette_holder_09s.jpg	4161	347	9	n/a	347.0000	5022.0000	9.0000	n/a
103.9500	500	exp	images_meg/cable/cable_09s.jpg	2817	235	9	n/a	235.0000	3502.0000	9.0000	n/a
105.5000	500	exp	images_meg/syrup/syrup_09s.jpg	19269	1606	9	n/a	1606.0000	22692.0000	9.0000	n/a
106.9000	500	catch	images_catch_meg/catch083.jpg	22331	1855	83	n/a	n/a	n/a	n/a	0.6011
108.3000	500	exp	images_meg/stair/stair_09s.jpg	18393	1533	9	n/a	1533.0000	21668.0000	9.0000	n/a
109.9500	500	exp	images_meg/manatee/manatee_09s.jpg	11577	965	9	n/a	965.0000	13758.0000	9.0000	n/a
111.2500	500	exp	images_meg/washcloth/washcloth_09s.jpg	21405	1784	9	n/a	1784.0000	25152.0000	9.0000	n/a
112.8000	500	exp	images_meg/doorknocker/doorknocker_09s.jpg	6129	511	9	n/a	511.0000	7395.0000	9.0000	n/a
114.5000	500	exp	images_meg/totem_pole/totem_pole_09s.jpg	20277	1690	9	n/a	1690.0000	23848.0000	9.0000	n/a
115.8500	500	test	images_test_meg/headlamp_14s.jpg	22496	765	13	48.0000	765.0000	10965.0000	14.0000	n/a
117.3500	500	exp	images_meg/bathmat/bathmat_09s.jpg	1077	90	9	n/a	90.0000	1343.0000	9.0000	n/a
119.0000	500	exp	images_meg/cloak/cloak_09s.jpg	4305	359	9	n/a	359.0000	5196.0000	9.0000	n/a
120.4500	500	exp	images_meg/fireplace/fireplace_09s.jpg	7149	596	9	n/a	596.0000	8615.0000	9.0000	n/a
122.1500	500	exp	images_meg/walrus/walrus_09s.jpg	21357	1780	9	n/a	1780.0000	25098.0000	9.0000	n/a
123.7000	500	exp	images_meg/keyhole/keyhole_09s.jpg	10461	872	9	n/a	872.0000	12483.0000	9.0000	n/a
125.2000	500	exp	images_meg/bench/bench_09s.jpg	1449	121	9	n/a	121.0000	1851.0000	9.0000	n/a
126.6000	500	exp	images_meg/scoop/scoop_09s.jpg	16581	1382	9	n/a	1382.0000	19631.0000	9.0000	n/a
128.0000	500	exp	images_meg/wig/wig_09s.jpg	21801	1817	9	n/a	1817.0000	25588.0000	9.0000	n/a
129.6500	500	catch	images_catch_meg/catch093.jpg	22341	1855	93	n/a	n/a	n/a	n/a	0.4237
131.3500	500	exp	images_meg/tooth/tooth_09s.jpg	20145	1679	9	n/a	1679.0000	23699.0000	9.0000	n/a
132.9500	500	exp	images_meg/quilt/quilt_09s.jpg	15177	1265	9	n/a	1265.0000	18032.0000	9.0000	n/a
134.4500	500	exp	images_meg/plant/plant_09s.jpg	14337	1195	9	n/a	1195.0000	16995.0000	9.0000	n/a
135.8500	500	test	images_test_meg/beaver_13n.jpg	22457	108	13	9.0000	108.0000	1640.0000	13.0000	n/a
137.2000	500	exp	images_meg/birdcage/birdcage_09s.jpg	1569	131	9	n/a	131.0000	2017.0000	9.0000	n/a
138.8000	500	exp	images_meg/toothpick/toothpick_09s.jpg	20181	1682	9	n/a	1682.0000	23740.0000	9.0000	n/a
140.2500	500	exp	images_meg/christmas_card/christmas_card_09s.jpg	4089	341	9	n/a	341.0000	4926.0000	9.0000	n/a
141.8000	500	exp	images_meg/crab/crab_09s.jpg	5145	429	9	n/a	429.0000	6194.0000	9.0000	n/a
