onset	duration	trial_type	file_path	image_nr	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_image_nr	things_exemplar_nr	RT
3.0000	500	exp	images_meg/license_plate/license_plate_05s.jpg	11057	922	5	n/a	922.0000	13174.0000	5.0000	n/a
4.3000	500	exp	images_meg/lens/lens_05s.jpg	10997	917	5	n/a	917.0000	13112.0000	5.0000	n/a
5.6000	500	exp	images_meg/ashtray/ashtray_05s.jpg	497	42	5	n/a	42.0000	582.0000	5.0000	n/a
7.1000	500	test	images_test_meg/taillight_13s.jpg	22634	1618	13	186.0000	1618.0000	22851.0000	13.0000	n/a
8.6500	500	exp	images_meg/slug/slug_05s.jpg	17669	1473	5	n/a	1473.0000	20867.0000	5.0000	n/a
10.2500	500	exp	images_meg/juice/juice_05s.jpg	10253	855	5	n/a	855.0000	12232.0000	5.0000	n/a
11.8000	500	catch	images_catch_meg/catch184.jpg	22432	1855	184	n/a	n/a	n/a	n/a	n/a
13.4000	500	exp	images_meg/manatee/manatee_05s.jpg	11573	965	5	n/a	965.0000	13754.0000	5.0000	n/a
14.9000	500	exp	images_meg/keyboard/keyboard_05s.jpg	10445	871	5	n/a	871.0000	12464.0000	5.0000	n/a
16.3500	500	exp	images_meg/jewelry/jewelry_05s.jpg	10205	851	5	n/a	851.0000	12175.0000	5.0000	n/a
18.0500	500	exp	images_meg/watering_can/watering_can_05s.jpg	21509	1793	5	n/a	1793.0000	25264.0000	5.0000	n/a
19.4000	500	exp	images_meg/garter/garter_05s.jpg	7913	660	5	n/a	660.0000	9479.0000	5.0000	n/a
21.1000	500	exp	images_meg/waffle_iron/waffle_iron_05s.jpg	21257	1772	5	n/a	1772.0000	24983.0000	5.0000	n/a
22.6500	500	exp	images_meg/air_pump/air_pump_05s.jpg	77	7	5	n/a	7.0000	89.0000	5.0000	n/a
24.1000	500	exp	images_meg/spool/spool_05s.jpg	18221	1519	5	n/a	1519.0000	21475.0000	5.0000	n/a
25.8000	500	exp	images_meg/test_tube/test_tube_05s.jpg	19745	1646	5	n/a	1646.0000	23240.0000	5.0000	n/a
27.3500	500	exp	images_meg/tricycle/tricycle_05s.jpg	20537	1712	5	n/a	1712.0000	24142.0000	5.0000	n/a
28.8000	500	exp	images_meg/bomb/bomb_05s.jpg	1925	161	5	n/a	161.0000	2458.0000	5.0000	n/a
30.4000	500	exp	images_meg/goat/goat_05n.jpg	8213	685	5	n/a	685.0000	9806.0000	5.0000	n/a
32.0000	500	exp	images_meg/first-aid_kit/first-aid_kit_05s.jpg	7193	600	5	n/a	600.0000	8676.0000	5.0000	n/a
33.4500	500	test	images_test_meg/pacifier_14s.jpg	22519	1094	13	71.0000	1094.0000	15586.0000	14.0000	n/a
35.1500	500	exp	images_meg/cummerbund/cummerbund_05s.jpg	5513	460	5	n/a	460.0000	6660.0000	5.0000	n/a
36.6500	500	exp	images_meg/hoodie/hoodie_05s.jpg	9509	793	5	n/a	793.0000	11343.0000	5.0000	n/a
37.9500	500	exp	images_meg/tapestry/tapestry_05s.jpg	19505	1626	5	n/a	1626.0000	22957.0000	5.0000	n/a
39.2500	500	catch	images_catch_meg/catch034.jpg	22282	1855	34	n/a	n/a	n/a	n/a	0.4537
40.8500	500	exp	images_meg/jeep/jeep_05s.jpg	10121	844	5	n/a	844.0000	12067.0000	5.0000	n/a
42.4000	500	exp	images_meg/seagull/seagull_05s.jpg	16745	1396	5	n/a	1396.0000	19827.0000	5.0000	n/a
44.0500	500	exp	images_meg/chicken_wire/chicken_wire_05s.jpg	3869	323	5	n/a	323.0000	4683.0000	5.0000	n/a
45.7500	500	exp	images_meg/coffee/coffee_05s.jpg	4529	378	5	n/a	378.0000	5449.0000	5.0000	n/a
47.1000	500	exp	images_meg/tea/tea_05s.jpg	19577	1632	5	n/a	1632.0000	23051.0000	5.0000	n/a
48.8000	500	exp	images_meg/car_seat/car_seat_05s.jpg	3233	270	5	n/a	270.0000	3968.0000	5.0000	n/a
50.3000	500	catch	images_catch_meg/catch029.jpg	22277	1855	29	n/a	n/a	n/a	n/a	0.4980
51.9500	500	exp	images_meg/grater/grater_05s.jpg	8501	709	5	n/a	709.0000	10175.0000	5.0000	n/a
53.3000	500	test	images_test_meg/penguin_14s.jpg	22614	1146	13	166.0000	1146.0000	16307.0000	14.0000	n/a
54.9000	500	exp	images_meg/curtain/curtain_05s.jpg	5585	466	5	n/a	466.0000	6759.0000	5.0000	n/a
56.3000	500	exp	images_meg/saffron/saffron_05s.jpg	16145	1346	5	n/a	1346.0000	19137.0000	5.0000	n/a
57.6500	500	exp	images_meg/hash/hash_05s.jpg	9077	757	5	n/a	757.0000	10834.0000	5.0000	n/a
59.3000	500	exp	images_meg/couch/couch_05s.jpg	5069	423	5	n/a	423.0000	6081.0000	5.0000	1.1803
60.6500	500	exp	images_meg/gargoyle/gargoyle_05s.jpg	7889	658	5	n/a	658.0000	9450.0000	5.0000	n/a
62.1000	500	catch	images_catch_meg/catch071.jpg	22319	1855	71	n/a	n/a	n/a	n/a	0.4621
63.6500	500	exp	images_meg/squash/squash_05s.jpg	18317	1527	5	n/a	1527.0000	21585.0000	5.0000	n/a
65.3500	500	exp	images_meg/wafer/wafer_05s.jpg	21233	1770	5	n/a	1770.0000	24953.0000	5.0000	n/a
66.8500	500	exp	images_meg/crown/crown_05n.jpg	5381	449	5	n/a	449.0000	6499.0000	5.0000	n/a
68.3000	500	exp	images_meg/stair/stair_05s.jpg	18389	1533	5	n/a	1533.0000	21664.0000	5.0000	n/a
69.7500	500	exp	images_meg/forklift/forklift_05s.jpg	7625	636	5	n/a	636.0000	9171.0000	5.0000	n/a
71.1500	500	catch	images_catch_meg/catch160.jpg	22408	1855	160	n/a	n/a	n/a	n/a	0.4695
72.7000	500	test	images_test_meg/thermostat_16s.jpg	22637	1649	13	189.0000	1649.0000	23297.0000	16.0000	n/a
74.1000	500	exp	images_meg/crib/crib_05s.jpg	5297	442	5	n/a	442.0000	6393.0000	5.0000	n/a
75.4000	500	exp	images_meg/foam/foam_05s.jpg	7493	625	5	n/a	625.0000	9018.0000	5.0000	n/a
76.9500	500	exp	images_meg/frame/frame_05s.jpg	7673	640	5	n/a	640.0000	9226.0000	5.0000	n/a
78.5000	500	exp	images_meg/notepad/notepad_05s.jpg	12785	1066	5	n/a	1066.0000	15163.0000	5.0000	n/a
79.9000	500	exp	images_meg/honeycomb/honeycomb_05s.jpg	9473	790	5	n/a	790.0000	11299.0000	5.0000	n/a
81.4000	500	exp	images_meg/sundae/sundae_05s.jpg	18989	1583	5	n/a	1583.0000	22352.0000	5.0000	n/a
82.7500	500	exp	images_meg/bug/bug_05s.jpg	2549	213	5	n/a	213.0000	3197.0000	5.0000	n/a
84.1000	500	exp	images_meg/cash_register/cash_register_05s.jpg	3365	281	5	n/a	281.0000	4115.0000	5.0000	n/a
85.5000	500	exp	images_meg/appetizer/appetizer_05s.jpg	353	30	5	n/a	30.0000	409.0000	5.0000	n/a
86.9500	500	test	images_test_meg/computer_screen_16s.jpg	22573	396	13	125.0000	396.0000	5705.0000	16.0000	n/a
88.4000	500	test	images_test_meg/road_sign_16s.jpg	22620	1316	13	172.0000	1316.0000	18738.0000	16.0000	n/a
89.7000	500	exp	images_meg/pipe1/pipe1_05s.jpg	14237	1187	5	n/a	1187.0000	16882.0000	5.0000	n/a
91.1000	500	exp	images_meg/banana/banana_05s.jpg	761	64	5	n/a	64.0000	952.0000	5.0000	n/a
92.4000	500	exp	images_meg/mast/mast_05s.jpg	11777	982	5	n/a	982.0000	13996.0000	5.0000	n/a
93.7500	500	exp	images_meg/calamari/calamari_05s.jpg	2873	240	5	n/a	240.0000	3561.0000	5.0000	n/a
95.2500	500	exp	images_meg/deodorant/deodorant_05s.jpg	5753	480	5	n/a	480.0000	6943.0000	5.0000	n/a
96.6500	500	catch	images_catch_meg/catch028.jpg	22276	1855	28	n/a	n/a	n/a	n/a	0.4656
98.0500	500	exp	images_meg/bell/bell_05n.jpg	1397	117	5	n/a	117.0000	1785.0000	5.0000	n/a
99.5500	500	test	images_test_meg/clipboard_14s.jpg	22474	356	13	26.0000	356.0000	5161.0000	14.0000	n/a
101.0500	500	exp	images_meg/cauliflower/cauliflower_05s.jpg	3461	289	5	n/a	289.0000	4223.0000	5.0000	n/a
102.3500	500	test	images_test_meg/chest1_14s.jpg	22472	320	13	24.0000	320.0000	4654.0000	14.0000	n/a
103.7500	500	exp	images_meg/boulder/boulder_05s.jpg	2069	173	5	n/a	173.0000	2627.0000	5.0000	n/a
105.1500	500	exp	images_meg/cabbage/cabbage_05s.jpg	2789	233	5	n/a	233.0000	3471.0000	5.0000	n/a
