onset	duration	trial_type	things_category_nr	value	sample
2.8716666666666666	0.5	exp	1127.0	16047.0	3446
4.4225	0.5	exp	1189.0	16908.0	5307
5.923333333333333	0.5	exp	999.0	14222.0	7108
7.574166666666667	0.5	exp	444.0	6423.0	9089
9.140833333333331	0.5	exp	524.0	7606.0	10969
10.491666666666667	0.5	exp	99.0	1485.0	12590
11.825833333333334	0.5	exp	1183.0	16832.0	14191
13.425833333333332	0.5	catch	N/A	N/A	16111
15.076666666666666	0.5	exp	1708.0	24092.0	18092
16.644166666666667	0.5	exp	573.0	8285.0	19973
18.145	0.5	exp	92.0	1372.0	21774
19.52833333333333	0.5	exp	1712.0	24141.0	23434
21.079166666666666	0.5	exp	691.0	9886.0	25295
22.38	0.5	test	1392.0	19767.0	26856
23.83	0.5	exp	209.0	3144.0	28596
25.38083333333333	0.5	test	1106.0	15747.0	30457
26.831666666666667	0.5	catch	N/A	N/A	32198
28.381666666666668	0.5	exp	87.0	1286.0	34058
29.9325	0.5	exp	1518.0	21460.0	35919
31.48333333333333	0.5	exp	148.0	2264.0	37780
32.98416666666667	0.5	exp	1473.0	20866.0	39581
34.68416666666667	0.5	exp	1210.0	17194.0	41621
36.385	0.5	exp	631.0	9103.0	43662
38.08583333333333	0.5	exp	1083.0	15408.0	45703
39.63666666666666	0.5	exp	669.0	9588.0	47564
41.18666666666667	0.5	exp	1640.0	23154.0	49424
42.4875	0.5	catch	N/A	N/A	50985
44.138333333333335	0.5	exp	655.0	9410.0	52966
45.689166666666665	0.5	exp	1735.0	24451.0	54827
47.23916666666667	0.5	exp	277.0	4062.0	56687
48.74	0.5	exp	715.0	10253.0	58488
50.32416666666666	0.5	exp	1480.0	20969.0	60389
51.89083333333333	0.5	exp	602.0	8700.0	62269
53.34166666666667	0.5	exp	214.0	3213.0	64010
54.7925	0.5	exp	153.0	2330.0	65751
56.29333333333334	0.5	exp	1530.0	21622.0	67552
57.82666666666667	0.5	exp	832.0	11894.0	69392
59.39416666666666	0.5	catch	N/A	N/A	71273
60.928333333333335	0.5	exp	544.0	7897.0	73114
62.495	0.5	exp	229.0	3407.0	74994
63.79583333333333	0.5	exp	103.0	1547.0	76555
65.24666666666667	0.5	exp	1792.0	25249.0	78296
66.63	0.5	exp	1447.0	20519.0	79956
68.18083333333334	0.5	exp	600.0	8675.0	81817
69.58166666666666	0.5	exp	1571.0	22185.0	83498
70.88166666666666	0.5	exp	352.0	5091.0	85058
72.1825	0.5	test	1309.0	18643.0	86619
73.58333333333333	0.5	exp	747.0	10698.0	88300
75.13333333333334	0.5	exp	1684.0	23763.0	90160
76.43416666666667	0.5	exp	956.0	13629.0	91721
78.035	0.5	exp	1044.0	14870.0	93642
79.58583333333333	0.5	exp	377.0	5436.0	95503
81.08583333333333	0.5	exp	5.0	62.0	97303
82.63666666666667	0.5	exp	317.0	4607.0	99164
84.0875	0.5	exp	222.0	3320.0	100905
85.3875	0.5	exp	896.0	12826.0	102465
86.78833333333333	0.5	exp	1600.0	22605.0	104146
88.23916666666666	0.5	catch	N/A	N/A	105887
89.7225	0.5	exp	869.0	12429.0	107667
91.29	0.5	exp	1017.0	14488.0	109548
92.84083333333334	0.5	exp	1112.0	15820.0	111409
94.29083333333334	0.5	exp	1453.0	20602.0	113149
95.64166666666668	0.5	exp	289.0	4222.0	114770
97.12583333333332	0.5	exp	636.0	9170.0	116551
98.69333333333331	0.5	exp	1767.0	24903.0	118432
100.24333333333334	0.5	exp	875.0	12527.0	120292
101.59416666666668	0.5	exp	1561.0	22049.0	121913
103.145	0.5	exp	336.0	4855.0	123774
104.595	0.5	exp	1285.0	18292.0	125514
105.92916666666666	0.5	test	721.0	10351.0	127115
107.39666666666666	0.5	exp	1451.0	20574.0	128876
108.98	0.5	exp	417.0	5990.0	130776
110.68083333333334	0.5	exp	645.0	9285.0	132817
112.24833333333332	0.5	exp	975.0	13898.0	134698
113.5825	0.5	exp	262.0	3848.0	136299
115.2825	0.5	catch	N/A	N/A	138339
116.88333333333334	0.5	test	978.0	13946.0	140260
118.45083333333334	0.5	exp	1129.0	16077.0	142141
120.035	0.5	exp	505.0	7296.0	144042
121.60166666666667	0.5	exp	658.0	9449.0	145922
123.1525	0.5	test	64.0	960.0	147783
124.53666666666666	0.5	exp	201.0	3038.0	149444
126.08666666666667	0.5	catch	N/A	N/A	151304
127.3875	0.5	exp	1372.0	19490.0	152865
128.98833333333334	0.5	exp	6.0	75.0	154786
130.6725	0.5	exp	54.0	776.0	156807
132.23916666666668	0.5	exp	988.0	14074.0	158687
133.8733333333333	0.5	test	1075.0	15293.0	160648
135.44083333333333	0.5	exp	41.0	568.0	162529
136.99166666666667	0.5	catch	N/A	N/A	164390
138.29166666666666	0.5	exp	517.0	7504.0	165950
139.67583333333334	0.5	exp	19.0	268.0	167611
141.24333333333334	0.5	exp	225.0	3359.0	169492
142.59333333333333	0.5	exp	784.0	11218.0	171112
144.0275	0.5	exp	892.0	12772.0	172833
