onset	duration	trial_type	file_path	image_nr	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_image_nr	things_exemplar_nr	RT
3.0000	500	exp	images_meg/chin/chin_11s.jpg	3971	331	11	n/a	331.0000	4792.0000	11.0000	n/a
4.7000	500	test	images_test_meg/sim_card_13s.jpg	22530	1447	13	82.0000	1447.0000	20528.0000	13.0000	n/a
6.2000	500	catch	images_catch_meg/catch024.jpg	22272	1855	24	n/a	n/a	n/a	n/a	0.6030
7.9000	500	exp	images_meg/plant/plant_11s.jpg	14339	1195	11	n/a	1195.0000	16997.0000	11.0000	n/a
9.3000	500	exp	images_meg/flour/flour_11s.jpg	7427	619	11	n/a	619.0000	8936.0000	11.0000	n/a
10.7000	500	exp	images_meg/tupperware/tupperware_11s.jpg	20759	1730	11	n/a	1730.0000	24389.0000	11.0000	n/a
12.0000	500	exp	images_meg/crystal1/crystal1_11s.jpg	5459	455	11	n/a	455.0000	6579.0000	11.0000	n/a
13.6500	500	exp	images_meg/crane/crane_11s.jpg	5183	432	11	n/a	432.0000	6242.0000	11.0000	n/a
15.3000	500	exp	images_meg/popcorn/popcorn_11s.jpg	14687	1224	11	n/a	1224.0000	17421.0000	11.0000	n/a
16.8000	500	exp	images_meg/tumbleweed/tumbleweed_11s.jpg	20735	1728	11	n/a	1728.0000	24363.0000	11.0000	n/a
18.3000	500	exp	images_meg/cardigan/cardigan_11s.jpg	3287	274	11	n/a	274.0000	4028.0000	11.0000	n/a
20.0000	500	catch	images_catch_meg/catch126.jpg	22374	1855	126	n/a	n/a	n/a	n/a	0.4593
21.4000	500	exp	images_meg/alligator/alligator_11s.jpg	155	13	11	n/a	13.0000	188.0000	11.0000	n/a
22.7000	500	exp	images_meg/paperweight/paperweight_11s.jpg	13415	1118	11	n/a	1118.0000	15906.0000	11.0000	n/a
24.1500	500	test	images_test_meg/bamboo_13s.jpg	22453	63	13	5.0000	63.0000	944.0000	13.0000	n/a
25.8500	500	catch	images_catch_meg/catch120.jpg	22368	1855	120	n/a	n/a	n/a	n/a	0.4541
27.3500	500	exp	images_meg/grasshopper/grasshopper_11s.jpg	8483	707	11	n/a	707.0000	10144.0000	11.0000	n/a
28.7500	500	exp	images_meg/cloak/cloak_11s.jpg	4307	359	11	n/a	359.0000	5198.0000	11.0000	n/a
30.1500	500	exp	images_meg/lion/lion_11s.jpg	11207	934	11	n/a	934.0000	13342.0000	11.0000	n/a
31.8500	500	exp	images_meg/keyhole/keyhole_11s.jpg	10463	872	11	n/a	872.0000	12485.0000	11.0000	n/a
33.5000	500	catch	images_catch_meg/catch107.jpg	22355	1855	107	n/a	n/a	n/a	n/a	0.4648
35.0500	500	exp	images_meg/hail/hail_11s.jpg	8795	733	11	n/a	733.0000	10522.0000	11.0000	n/a
