onset	duration	trial_type	things_category_nr	value	sample
2.8716666666666666	0.5	exp	737.0	10577.0	3446
4.439166666666667	0.5	exp	653.0	9394.0	5327
5.8725	0.5	exp	204.0	3085.0	7047
7.323333333333333	0.5	exp	964.0	13749.0	8788
8.874166666666667	0.5	exp	684.0	9800.0	10649
10.358333333333333	0.5	test	735.0	10548.0	12430
11.708333333333334	0.5	exp	1692.0	23881.0	14050
13.109166666666669	0.5	exp	1577.0	22277.0	15731
14.459166666666668	0.5	exp	557.0	8078.0	17351
15.976666666666668	0.5	exp	1023.0	14584.0	19172
17.5275	0.5	exp	429.0	6197.0	21033
19.061666666666667	0.5	test	47.0	663.0	22874
20.52833333333333	0.5	exp	1269.0	18088.0	24634
22.0625	0.5	exp	372.0	5374.0	26475
23.48	0.5	catch	N/A	N/A	28176
25.01333333333333	0.5	test	1169.0	16641.0	30016
26.514166666666668	0.5	exp	383.0	5523.0	31817
28.215	0.5	exp	1147.0	16329.0	33858
29.81583333333333	0.5	exp	1495.0	21163.0	35779
31.41583333333333	0.5	exp	506.0	7321.0	37699
33.06666666666667	0.5	exp	1094.0	15584.0	39680
34.7175	0.5	exp	21.0	301.0	41661
36.26833333333333	0.5	exp	642.0	9257.0	43522
37.66833333333334	0.5	exp	97.0	1468.0	45202
39.26916666666666	0.5	exp	1773.0	25004.0	47123
40.82	0.5	exp	665.0	9546.0	48984
42.32083333333333	0.5	catch	N/A	N/A	50785
43.82083333333333	0.5	exp	1191.0	16940.0	52585
45.12166666666667	0.5	exp	625.0	9025.0	54146
46.7725	0.5	exp	1391.0	19752.0	56127
48.42333333333333	0.5	exp	968.0	13804.0	58108
50.123333333333335	0.5	exp	1220.0	17364.0	60148
51.774166666666666	0.5	exp	1036.0	14771.0	62129
53.325	0.5	exp	1554.0	21958.0	63990
54.92583333333334	0.5	exp	715.0	10261.0	65911
56.47583333333333	0.5	exp	652.0	9382.0	67771
58.17666666666667	0.5	exp	1150.0	16367.0	69812
59.7275	0.5	exp	801.0	11463.0	71673
61.278333333333336	0.5	exp	548.0	7961.0	73534
62.72833333333333	0.5	exp	1475.0	20900.0	75274
64.27916666666667	0.5	exp	723.0	10379.0	77135
65.58	0.5	exp	1671.0	23591.0	78696
66.91333333333333	0.5	exp	1633.0	23073.0	80296
68.46416666666667	0.5	exp	648.0	9332.0	82157
69.965	0.5	exp	1714.0	24175.0	83958
71.315	0.5	catch	N/A	N/A	85578
72.76583333333333	0.5	exp	1463.0	20744.0	87319
74.31666666666666	0.5	exp	1564.0	22094.0	89180
75.71666666666667	0.5	exp	1439.0	20412.0	90860
77.1175	0.5	exp	1444.0	20488.0	92541
78.51833333333333	0.5	test	1199.0	17050.0	94222
80.01833333333333	0.5	exp	1080.0	15365.0	96022
81.41916666666667	0.5	exp	1528.0	21605.0	97703
82.92	0.5	exp	59.0	878.0	99504
84.32	0.5	exp	1039.0	14813.0	101184
86.02083333333333	0.5	exp	800.0	11449.0	103225
87.57166666666667	0.5	exp	807.0	11548.0	105086
88.9725	0.5	catch	N/A	N/A	106767
90.4225	0.5	exp	1359.0	19335.0	108507
91.87333333333332	0.5	exp	1678.0	23689.0	110248
93.57416666666668	0.5	exp	869.0	12437.0	112289
95.125	0.5	exp	534.0	7761.0	114150
96.425	0.5	exp	357.0	5174.0	115710
97.72583333333333	0.5	exp	622.0	8983.0	117271
99.31	0.5	exp	1105.0	15733.0	119172
100.57666666666668	0.5	exp	1535.0	21701.0	120692
102.0275	0.5	test	1030.0	14692.0	122433
103.4775	0.5	exp	592.0	8554.0	124173
105.12833333333332	0.5	exp	315.0	4587.0	126154
106.67916666666666	0.5	exp	412.0	5926.0	128015
108.23	0.5	exp	265.0	3906.0	129876
109.78	0.5	catch	N/A	N/A	131736
111.08083333333332	0.5	test	18.0	264.0	133297
112.43166666666669	0.5	exp	925.0	13218.0	134918
113.765	0.5	exp	662.0	9510.0	136518
115.31583333333332	0.5	exp	574.0	8305.0	138379
116.81666666666666	0.5	exp	503.0	7272.0	140180
118.3675	0.5	exp	330.0	4781.0	142041
119.8675	0.5	exp	148.0	2272.0	143841
121.41833333333334	0.5	exp	1769.0	24943.0	145702
122.76916666666666	0.5	exp	178.0	2713.0	147323
124.11916666666669	0.5	exp	1352.0	19232.0	148943
125.47	0.5	catch	N/A	N/A	150564
126.9375	0.5	exp	1808.0	25475.0	152325
128.57083333333333	0.5	exp	1694.0	23909.0	154285
130.13833333333332	0.5	catch	N/A	N/A	156166
131.4225	0.5	exp	1066.0	15170.0	157707
132.9725	0.5	exp	221.0	3316.0	159567
134.3733333333333	0.5	test	1757.0	24774.0	161248
135.92416666666668	0.5	exp	835.0	11947.0	163109
137.525	0.5	exp	1803.0	25409.0	165030
139.075	0.5	exp	1186.0	16877.0	166890
140.5425	0.5	exp	1349.0	19185.0	168651
142.07666666666665	0.5	exp	1290.0	18364.0	170492
143.42666666666668	0.5	exp	430.0	6214.0	172112
144.7275	0.5	exp	562.0	8142.0	173673
146.32833333333335	0.5	exp	427.0	6161.0	175594
147.92833333333334	0.5	exp	790.0	11306.0	177514
149.47916666666666	0.5	exp	1042.0	14850.0	179375
150.93	0.5	exp	955.0	13624.0	181116
152.48083333333332	0.5	exp	806.0	11536.0	182977
153.88083333333333	0.5	exp	1786.0	25179.0	184657
155.515	0.5	catch	N/A	N/A	186618
157.0825	0.5	exp	498.0	7200.0	188499
158.71666666666667	0.5	exp	1691.0	23865.0	190460
160.28333333333333	0.5	catch	N/A	N/A	192340
161.6675	0.5	exp	895.0	12822.0	194001
163.21833333333333	0.5	exp	116.0	1777.0	195862
164.66833333333332	0.5	exp	1501.0	21244.0	197602
166.36916666666667	0.5	exp	119.0	1823.0	199643
168.02	0.5	exp	20.0	288.0	201624
169.57083333333333	0.5	exp	402.0	5789.0	203485
171.1375	0.5	exp	322.0	4678.0	205365
172.42166666666665	0.5	exp	229.0	3415.0	206906
173.9391666666667	0.5	exp	868.0	12421.0	208727
175.4225	0.5	exp	1848.0	26017.0	210507
176.77333333333334	0.5	exp	1266.0	18048.0	212128
178.22416666666666	0.5	exp	686.0	9825.0	213869
179.925	0.5	exp	1621.0	22896.0	215910
181.475	0.5	exp	1339.0	19051.0	217770
182.8258333333333	0.5	exp	552.0	8014.0	219391
184.3766666666667	0.5	exp	879.0	12586.0	221252
185.67666666666668	0.5	exp	1599.0	22600.0	222812
