onset	duration	trial_type	file_path	image_nr	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_image_nr	things_exemplar_nr	RT
3.0000	500	exp	images_meg/mascara/mascara_06s.jpg	11742	979	6	n/a	979.0000	13952.0000	6.0000	n/a
4.6000	500	exp	images_meg/tab/tab_06s.jpg	19290	1608	6	n/a	1608.0000	22716.0000	6.0000	n/a
6.3000	500	exp	images_meg/gold/gold_06s.jpg	8250	688	6	n/a	688.0000	9846.0000	6.0000	n/a
7.8000	500	catch	images_catch_meg/catch038.jpg	22286	1855	38	n/a	n/a	n/a	n/a	0.7536
9.3000	500	exp	images_meg/chisel/chisel_06s.jpg	4038	337	6	n/a	337.0000	4869.0000	6.0000	n/a
11.0000	500	exp	images_meg/lid/lid_06s.jpg	11082	924	6	n/a	924.0000	13200.0000	6.0000	n/a
12.5000	500	test	images_test_meg/dough_19s.jpg	22482	514	13	34.0000	514.0000	7464.0000	19.0000	n/a
14.1500	500	exp	images_meg/life_jacket/life_jacket_06s.jpg	11094	925	6	n/a	925.0000	13212.0000	6.0000	n/a
15.6500	500	exp	images_meg/fast_food/fast_food_06s.jpg	6870	573	6	n/a	573.0000	8287.0000	6.0000	n/a
17.1500	500	exp	images_meg/chaps/chaps_06s.jpg	3678	307	6	n/a	307.0000	4471.0000	6.0000	n/a
18.5500	500	exp	images_meg/videogame/videogame_06s.jpg	21150	1763	6	n/a	1763.0000	24850.0000	6.0000	n/a
19.8500	500	catch	images_catch_meg/catch011.jpg	22259	1855	11	n/a	n/a	n/a	n/a	0.8887
21.3000	500	exp	images_meg/sandbag/sandbag_06s.jpg	16242	1354	6	n/a	1354.0000	19262.0000	6.0000	n/a
22.6500	500	exp	images_meg/faucet/faucet_06s.jpg	6882	574	6	n/a	574.0000	8299.0000	6.0000	n/a
24.3500	500	exp	images_meg/olive/olive_06s.jpg	12906	1076	6	n/a	1076.0000	15301.0000	6.0000	n/a
26.0000	500	exp	images_meg/rickshaw/rickshaw_06s.jpg	15726	1311	6	n/a	1311.0000	18663.0000	6.0000	n/a
27.3500	500	exp	images_meg/wasp/wasp_06s.jpg	21426	1786	6	n/a	1786.0000	25173.0000	6.0000	n/a
28.8500	500	exp	images_meg/shortbread/shortbread_06s.jpg	17154	1430	6	n/a	1430.0000	20280.0000	6.0000	n/a
30.2000	500	exp	images_meg/doorhandle/doorhandle_06s.jpg	6102	509	6	n/a	509.0000	7359.0000	6.0000	n/a
31.6000	500	exp	images_meg/beaver/beaver_06s.jpg	1290	108	6	n/a	108.0000	1633.0000	6.0000	n/a
33.3000	500	exp	images_meg/cockroach/cockroach_06n.jpg	4482	374	6	n/a	374.0000	5394.0000	6.0000	n/a
35.0000	500	exp	images_meg/camera2/camera2_06s.jpg	2982	249	6	n/a	249.0000	3683.0000	6.0000	n/a
36.4000	500	exp	images_meg/fondue/fondue_06s.jpg	7518	627	6	n/a	627.0000	9050.0000	6.0000	n/a
37.9000	500	exp	images_meg/headband/headband_06s.jpg	9150	763	6	n/a	763.0000	10927.0000	6.0000	n/a
39.2000	500	exp	images_meg/hearing_aid/hearing_aid_06s.jpg	9246	771	6	n/a	771.0000	11036.0000	6.0000	n/a
40.8500	500	exp	images_meg/dip/dip_06s.jpg	5850	488	6	n/a	488.0000	7059.0000	6.0000	n/a
42.5000	500	catch	images_catch_meg/catch142.jpg	22390	1855	142	n/a	n/a	n/a	n/a	0.9010
43.8500	500	exp	images_meg/cot/cot_06s.jpg	5046	421	6	n/a	421.0000	6052.0000	6.0000	n/a
45.1500	500	exp	images_meg/station_wagon/station_wagon_06s.jpg	18510	1543	6	n/a	1543.0000	21799.0000	6.0000	n/a
46.8500	500	test	images_test_meg/tent_14n.jpg	22539	1644	13	91.0000	1644.0000	23220.0000	14.0000	n/a
48.5500	500	exp	images_meg/crystal_ball/crystal_ball_06s.jpg	5442	454	6	n/a	454.0000	6562.0000	6.0000	n/a
50.2500	500	exp	images_meg/trigger/trigger_06s.jpg	20562	1714	6	n/a	1714.0000	24169.0000	6.0000	n/a
51.7500	500	exp	images_meg/sugar_cube/sugar_cube_06s.jpg	18954	1580	6	n/a	1580.0000	22312.0000	6.0000	n/a
53.4500	500	exp	images_meg/puppy/puppy_06s.jpg	15102	1259	6	n/a	1259.0000	17933.0000	6.0000	n/a
54.7500	500	exp	images_meg/flatiron/flatiron_06s.jpg	7362	614	6	n/a	614.0000	8870.0000	6.0000	n/a
56.1500	500	test	images_test_meg/bulldozer_22n.jpg	22468	216	13	20.0000	216.0000	3255.0000	22.0000	n/a
