onset	duration	trial_type	file_path	image_nr	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_image_nr	things_exemplar_nr	RT
3.0000	500	exp	images_meg/scissors/scissors_03s.jpg	16551	1380	3	n/a	1380.0000	19597.0000	3.0000	n/a
4.6500	500	exp	images_meg/vending_machine/vending_machine_03s.jpg	21087	1758	3	n/a	1758.0000	24777.0000	3.0000	n/a
5.9500	500	exp	images_meg/cannonball/cannonball_03s.jpg	3135	262	3	n/a	262.0000	3847.0000	3.0000	n/a
7.4000	500	catch	images_catch_meg/catch008.jpg	22256	1855	8	n/a	n/a	n/a	n/a	0.4940
8.7500	500	exp	images_meg/spaghetti/spaghetti_03s.jpg	18039	1504	3	n/a	1504.0000	21273.0000	3.0000	n/a
10.2000	500	test	images_test_meg/sink_13n.jpg	22625	1448	13	177.0000	1448.0000	20541.0000	13.0000	n/a
11.6000	500	exp	images_meg/handle/handle_03s.jpg	8979	749	3	n/a	749.0000	10723.0000	3.0000	n/a
13.3000	500	catch	images_catch_meg/catch023.jpg	22271	1855	23	n/a	n/a	n/a	n/a	0.4568
14.9000	500	exp	images_meg/chessboard/chessboard_03s.jpg	3819	319	3	n/a	319.0000	4631.0000	3.0000	n/a
16.2500	500	test	images_test_meg/chipmunk_16n.jpg	22473	335	13	25.0000	335.0000	4851.0000	16.0000	n/a
17.8500	500	exp	images_meg/rice/rice_03s.jpg	15711	1310	3	n/a	1310.0000	18648.0000	3.0000	n/a
19.4500	500	exp	images_meg/shrimp/shrimp_03s.jpg	17259	1439	3	n/a	1439.0000	20403.0000	3.0000	n/a
20.9000	500	exp	images_meg/brush/brush_03s.jpg	2463	206	3	n/a	206.0000	3106.0000	3.0000	n/a
22.5500	500	exp	images_meg/crib/crib_03s.jpg	5295	442	3	n/a	442.0000	6391.0000	3.0000	n/a
23.8500	500	catch	images_catch_meg/catch153.jpg	22401	1855	153	n/a	n/a	n/a	n/a	0.4884
25.5500	500	exp	images_meg/soda_fountain/soda_fountain_03s.jpg	17895	1492	3	n/a	1492.0000	21115.0000	3.0000	n/a
26.9500	500	test	images_test_meg/thermostat_16s.jpg	22637	1649	13	189.0000	1649.0000	23297.0000	16.0000	n/a
28.2500	500	exp	images_meg/pipe1/pipe1_03s.jpg	14235	1187	3	n/a	1187.0000	16880.0000	3.0000	n/a
29.8500	500	exp	images_meg/artichoke/artichoke_03n.jpg	471	40	3	n/a	40.0000	555.0000	3.0000	n/a
31.2000	500	catch	images_catch_meg/catch025.jpg	22273	1855	25	n/a	n/a	n/a	n/a	0.4960
32.6500	500	exp	images_meg/blackberry/blackberry_03s.jpg	1623	136	3	n/a	136.0000	2078.0000	3.0000	n/a
34.3000	500	exp	images_meg/cauliflower/cauliflower_03s.jpg	3459	289	3	n/a	289.0000	4221.0000	3.0000	n/a
