onset	duration	trial_type	file_path	image_nr	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_image_nr	things_exemplar_nr	RT
3.0000	500	exp	images_meg/canvas/canvas_05s.jpg	3173	265	5	n/a	265.0000	3899.0000	5.0000	n/a
4.4500	500	exp	images_meg/stamp1/stamp1_05s.jpg	18425	1536	5	n/a	1536.0000	21709.0000	5.0000	n/a
6.0500	500	exp	images_meg/caterpillar/caterpillar_05s.jpg	3437	287	5	n/a	287.0000	4190.0000	5.0000	n/a
7.7500	500	catch	images_catch_meg/catch147.jpg	22395	1855	147	n/a	n/a	n/a	n/a	0.5077
9.3000	500	exp	images_meg/dresser/dresser_05n.jpg	6233	520	5	n/a	520.0000	7544.0000	5.0000	n/a
10.7500	500	exp	images_meg/peg/peg_05s.jpg	13673	1140	5	n/a	1140.0000	16222.0000	5.0000	n/a
12.3000	500	exp	images_meg/walrus/walrus_05s.jpg	21353	1780	5	n/a	1780.0000	25094.0000	5.0000	n/a
13.6500	500	exp	images_meg/gingerbread_man/gingerbread_man_05s.jpg	8093	675	5	n/a	675.0000	9663.0000	5.0000	n/a
15.3500	500	test	images_test_meg/dresser_18n.jpg	22583	520	13	135.0000	520.0000	7557.0000	18.0000	n/a
16.6500	500	catch	images_catch_meg/catch114.jpg	22362	1855	114	n/a	n/a	n/a	n/a	0.4841
18.1000	500	exp	images_meg/pearl/pearl_05s.jpg	13613	1135	5	n/a	1135.0000	16158.0000	5.0000	n/a
19.6500	500	exp	images_meg/touchpad/touchpad_05s.jpg	20297	1692	5	n/a	1692.0000	23874.0000	5.0000	n/a
21.0500	500	exp	images_meg/duct_tape/duct_tape_05s.jpg	6341	529	5	n/a	529.0000	7682.0000	5.0000	n/a
22.4500	500	exp	images_meg/hubcap/hubcap_05s.jpg	9713	810	5	n/a	810.0000	11580.0000	5.0000	n/a
23.9500	500	exp	images_meg/baton2/baton2_05s.jpg	1121	94	5	n/a	94.0000	1413.0000	5.0000	n/a
25.5500	500	exp	images_meg/drink/drink_05s.jpg	6257	522	5	n/a	522.0000	7577.0000	5.0000	n/a
27.2000	500	exp	images_meg/motherboard/motherboard_05s.jpg	12293	1025	5	n/a	1025.0000	14603.0000	5.0000	n/a
28.9000	500	exp	images_meg/dolly/dolly_05s.jpg	6017	502	5	n/a	502.0000	7252.0000	5.0000	n/a
30.2500	500	exp	images_meg/matchbox/matchbox_05s.jpg	11813	985	5	n/a	985.0000	14037.0000	5.0000	n/a
31.6500	500	exp	images_meg/applesauce/applesauce_05s.jpg	389	33	5	n/a	33.0000	462.0000	5.0000	n/a
33.2000	500	exp	images_meg/catfish/catfish_05s.jpg	3449	288	5	n/a	288.0000	4211.0000	5.0000	0.4827
