onset	duration	trial_type	things_category_nr	value	sample
2.8716666666666666	0.5	exp	620.0	8938.0	3446
4.5725	0.5	exp	1389.0	19713.0	5487
6.123333333333333	0.5	exp	1852.0	26063.0	7348
7.524166666666667	0.5	catch	N/A	N/A	9029
9.074166666666668	0.5	exp	1722.0	24272.0	10889
10.625	0.5	exp	1437.0	20371.0	12750
11.975833333333334	0.5	test	865.0	12374.0	14371
13.3425	0.5	exp	243.0	3601.0	16011
14.876666666666669	0.5	exp	180.0	2727.0	17852
16.2775	0.5	exp	70.0	1033.0	19533
17.6775	0.5	test	1742.0	24559.0	21213
19.17833333333333	0.5	exp	668.0	9573.0	23014
20.729166666666668	0.5	exp	1369.0	19450.0	24875
22.18	0.5	exp	1148.0	16331.0	26616
23.68	0.5	exp	399.0	5734.0	28416
25.33083333333333	0.5	catch	N/A	N/A	30397
26.981666666666666	0.5	exp	1846.0	25976.0	32378
28.6325	0.5	exp	1686.0	23786.0	34359
30.2825	0.5	exp	730.0	10474.0	36339
31.83333333333333	0.5	exp	1765.0	24872.0	38200
33.23416666666667	0.5	exp	1364.0	19384.0	39881
34.534166666666664	0.5	test	422.0	6076.0	41441
35.835	0.5	exp	939.0	13405.0	43002
37.33583333333333	0.5	exp	553.0	8017.0	44803
38.83583333333333	0.5	exp	189.0	2860.0	46603
40.17	0.5	exp	341.0	4918.0	48204
41.6875	0.5	test	502.0	7260.0	50025
42.9875	0.5	exp	1748.0	24629.0	51585
44.33833333333333	0.5	catch	N/A	N/A	53206
45.689166666666665	0.5	exp	1376.0	19542.0	54827
46.98916666666667	0.5	exp	1120.0	15921.0	56387
48.42333333333333	0.5	exp	1361.0	19348.0	58108
49.990833333333335	0.5	catch	N/A	N/A	59989
51.32416666666666	0.5	exp	1096.0	15601.0	61589
52.891666666666666	0.5	exp	223.0	3329.0	63470
54.52583333333333	0.5	exp	710.0	10183.0	65431
56.07666666666667	0.5	exp	29.0	392.0	67292
57.626666666666665	0.5	exp	425.0	6119.0	69152
59.3275	0.5	exp	455.0	6569.0	71193
60.895	0.5	test	1254.0	17873.0	73074
62.32833333333333	0.5	catch	N/A	N/A	74794
63.87916666666667	0.5	exp	976.0	13909.0	76655
65.43	0.5	exp	1808.0	25464.0	78516
66.78083333333333	0.5	catch	N/A	N/A	80137
