onset	duration	trial_type	things_category_nr	value	sample
2.655	0.5	exp	395.0	5680.0	3186
4.2058333333333335	0.5	exp	779.0	11150.0	5047
5.7058333333333335	0.5	exp	1823.0	25663.0	6847
7.256666666666667	0.5	exp	287.0	4188.0	8708
8.624166666666667	0.5	exp	1728.0	24355.0	10349
10.3075	0.5	exp	339.0	4894.0	12369
11.958333333333334	0.5	catch	N/A	N/A	14350
13.509166666666667	0.5	exp	242.0	3587.0	16211
14.86	0.5	exp	284.0	4152.0	17832
16.26	0.5	test	469.0	6805.0	19512
17.810833333333335	0.5	exp	1145.0	16283.0	21373
19.211666666666662	0.5	exp	246.0	3641.0	23054
20.761666666666667	0.5	exp	420.0	6035.0	24914
22.3125	0.5	exp	887.0	12696.0	26775
23.813333333333333	0.5	catch	N/A	N/A	28576
25.363333333333333	0.5	exp	619.0	8928.0	30436
26.964166666666667	0.5	exp	1371.0	19477.0	32357
28.515	0.5	exp	1309.0	18633.0	34218
30.06583333333333	0.5	exp	889.0	12724.0	36079
31.66583333333333	0.5	exp	1187.0	16880.0	37999
33.21666666666667	0.5	exp	785.0	11229.0	39860
34.6675	0.5	exp	680.0	9739.0	41601
36.068333333333335	0.5	exp	888.0	12711.0	43282
37.71833333333333	0.5	exp	261.0	3835.0	45262
39.2525	0.5	exp	1477.0	20919.0	47103
40.82	0.5	exp	1639.0	23140.0	48984
42.50416666666667	0.5	exp	502.0	7250.0	51005
44.10416666666666	0.5	exp	1273.0	18131.0	52925
45.805	0.5	exp	1611.0	22751.0	54966
47.45583333333333	0.5	test	151.0	2312.0	56947
49.00666666666667	0.5	exp	938.0	13395.0	58808
50.556666666666665	0.5	exp	234.0	3482.0	60668
52.1075	0.5	catch	N/A	N/A	62529
53.65833333333333	0.5	exp	158.0	2417.0	64390
55.20916666666667	0.5	exp	931.0	13293.0	66251
56.65916666666666	0.5	exp	1063.0	15121.0	67991
58.21	0.5	exp	1571.0	22184.0	69852
59.86083333333333	0.5	exp	1315.0	18711.0	71833
61.410833333333336	0.5	test	274.0	4030.0	73693
62.76166666666666	0.5	exp	1029.0	14669.0	75314
64.3125	0.5	exp	1492.0	21115.0	77175
65.81333333333333	0.5	exp	1093.0	15562.0	78976
67.36333333333333	0.5	exp	85.0	1257.0	80836
68.76416666666667	0.5	exp	1849.0	26022.0	82517
70.115	0.5	catch	N/A	N/A	84138
71.665	0.5	exp	1508.0	21324.0	85998
73.01583333333333	0.5	exp	551.0	7993.0	87619
74.46666666666667	0.5	exp	86.0	1269.0	89360
76.16666666666667	0.5	exp	1351.0	19207.0	91400
77.7175	0.5	exp	1408.0	19985.0	93261
79.21833333333333	0.5	exp	319.0	4631.0	95062
80.66916666666667	0.5	exp	633.0	9130.0	96803
82.26916666666666	0.5	catch	N/A	N/A	98723
83.82	0.5	exp	473.0	6847.0	100584
85.37083333333334	0.5	exp	1644.0	23209.0	102445
86.70416666666667	0.5	exp	1665.0	23498.0	104045
88.255	0.5	exp	112.0	1697.0	105906
89.85583333333334	0.5	exp	289.0	4221.0	107827
91.40666666666668	0.5	exp	580.0	8387.0	109688
92.77333333333333	0.5	catch	N/A	N/A	111328
94.17416666666666	0.5	test	1075.0	15293.0	113009
95.75833333333334	0.5	exp	543.0	7880.0	114910
97.30833333333334	0.5	exp	840.0	12007.0	116770
98.80916666666668	0.5	exp	927.0	13234.0	118571
100.41	0.5	exp	1798.0	25327.0	120492
101.96083333333333	0.5	catch	N/A	N/A	122353
103.2775	0.5	exp	1851.0	26047.0	123933
104.76166666666668	0.5	exp	1699.0	23970.0	125714
106.3625	0.5	exp	213.0	3195.0	127635
107.9125	0.5	exp	1252.0	17827.0	129495
109.41333333333333	0.5	exp	148.0	2263.0	131296
110.71416666666669	0.5	exp	1186.0	16868.0	132857
112.21416666666669	0.5	test	121.0	1858.0	134657
113.58166666666666	0.5	exp	1090.0	15508.0	136298
115.01583333333332	0.5	exp	992.0	14126.0	138019
116.46583333333334	0.5	exp	1110.0	15793.0	139759
118.01666666666668	0.5	test	103.0	1556.0	141620
119.5175	0.5	exp	48.0	684.0	143421
120.81833333333331	0.5	catch	N/A	N/A	144982
122.31833333333331	0.5	exp	52.0	744.0	146782
123.81916666666666	0.5	exp	716.0	10264.0	148583
125.22	0.5	exp	1295.0	18421.0	150264
126.67	0.5	exp	1474.0	20879.0	152004
